dataset,target_subject,alpha,bacc_orig,bacc_injected,induced_harm,D0_exact_bacc,D0_recovery,D1_cf_adapter_bacc,D1_recovery,D2_taskorth_erase_bacc,D2_recovery,D3a_rand_adapter_bacc,D3a_recovery,D3b_randk_erase_bacc,D3b_recovery,D4_injected_bacc
BNCI2014_001,7,1.0,0.2587,0.2552,0.0035,0.2587,1.0,0.2552,0.0,0.2656,3.0,0.2552,0.0,0.2517,-1.0,0.2552
BNCI2014_001,7,2.0,0.2587,0.2517,0.0069,0.2587,1.0,0.2604,1.25,0.2517,0.0,0.2604,1.25,0.2622,1.5,0.2517
BNCI2014_001,8,1.0,0.4965,0.4705,0.026,0.4965,1.0,0.4792,0.3333,0.467,-0.1333,0.4826,0.4667,0.4653,-0.2,0.4705
BNCI2014_001,8,2.0,0.4965,0.4271,0.0694,0.4965,1.0,0.4306,0.05,0.4236,-0.05,0.4479,0.3,0.4306,0.05,0.4271
BNCI2014_001,9,1.0,0.4115,0.3941,0.0174,0.4115,1.0,0.3802,-0.8,0.3941,0.0,0.3837,-0.6,0.3924,-0.1,0.3941
BNCI2014_001,9,2.0,0.4115,0.3819,0.0295,0.4115,1.0,0.3837,0.0588,0.3802,-0.0588,0.3681,-0.4706,0.3958,0.4706,0.3819
BNCI2015_001,10,1.0,0.6167,0.5033,0.1133,0.6167,1.0,0.595,0.8088,0.5033,0.0,0.5017,-0.0147,0.5467,0.3824,0.5033
BNCI2015_001,10,2.0,0.6167,0.5,0.1167,0.6167,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
BNCI2015_001,11,1.0,0.5083,0.5117,-0.0033,0.5083,1.0,0.5083,1.0,0.5117,-0.0,0.515,-1.0,0.5083,1.0,0.5117
BNCI2015_001,11,2.0,0.5083,0.5567,-0.0483,0.5083,1.0,0.54,0.3448,0.5567,-0.0,0.5117,0.931,0.56,-0.069,0.5567
BNCI2015_001,12,1.0,0.525,0.5025,0.0225,0.525,1.0,0.515,0.5556,0.5075,0.2222,0.515,0.5556,0.5,-0.1111,0.5025
BNCI2015_001,12,2.0,0.525,0.515,0.01,0.525,1.0,0.5025,-1.25,0.515,0.0,0.5125,-0.25,0.5125,-0.25,0.515
BNCI2015_001,1,1.0,0.5925,0.6425,-0.05,0.5925,1.0,0.585,1.15,0.65,-0.15,0.605,0.75,0.655,-0.25,0.6425
BNCI2015_001,1,2.0,0.5925,0.505,0.0875,0.5925,1.0,0.54,0.4,0.5,-0.0571,0.5475,0.4857,0.5,-0.0571,0.505
BNCI2015_001,2,1.0,0.6975,0.5275,0.17,0.6975,1.0,0.645,0.6912,0.5325,0.0294,0.6775,0.8824,0.5325,0.0294,0.5275
BNCI2015_001,2,2.0,0.6975,0.5,0.1975,0.6975,1.0,0.6025,0.519,0.5,0.0,0.5825,0.4177,0.5,0.0,0.5
BNCI2015_001,3,1.0,0.535,0.8275,-0.2925,0.535,1.0,0.6125,0.735,0.83,-0.0085,0.775,0.1795,0.8125,0.0513,0.8275
BNCI2015_001,3,2.0,0.535,0.49,0.045,0.535,1.0,0.685,4.3333,0.49,0.0,0.6275,3.0556,0.49,0.0,0.49
BNCI2015_001,4,1.0,0.755,0.6225,0.1325,0.755,1.0,0.775,1.1509,0.6225,0.0,0.6325,0.0755,0.6225,0.0,0.6225
BNCI2015_001,4,2.0,0.755,0.5275,0.2275,0.755,1.0,0.745,0.956,0.5275,0.0,0.5775,0.2198,0.535,0.033,0.5275
BNCI2015_001,5,1.0,0.725,0.5125,0.2125,0.725,1.0,0.5775,0.3059,0.5125,0.0,0.545,0.1529,0.62,0.5059,0.5125
BNCI2015_001,5,2.0,0.725,0.5,0.225,0.725,1.0,0.7,0.8889,0.5,0.0,0.5,0.0,0.5,0.0,0.5
BNCI2015_001,6,1.0,0.625,0.5775,0.0475,0.625,1.0,0.6175,0.8421,0.58,0.0526,0.62,0.8947,0.5925,0.3158,0.5775
BNCI2015_001,6,2.0,0.625,0.5025,0.1225,0.625,1.0,0.5875,0.6939,0.5025,0.0,0.5125,0.0816,0.5025,0.0,0.5025
BNCI2015_001,7,1.0,0.485,0.555,-0.07,0.485,1.0,0.525,0.4286,0.5575,-0.0357,0.5675,-0.1786,0.5575,-0.0357,0.555
BNCI2015_001,7,2.0,0.485,0.5,-0.015,0.485,1.0,0.5725,-4.8333,0.5,-0.0,0.5,-0.0,0.5,-0.0,0.5
BNCI2015_001,8,1.0,0.5017,0.56,-0.0583,0.5017,1.0,0.5133,0.8,0.5633,-0.0571,0.5667,-0.1143,0.5533,0.1143,0.56
BNCI2015_001,8,2.0,0.5017,0.535,-0.0333,0.5017,1.0,0.515,0.6,0.5417,-0.2,0.5467,-0.35,0.5133,0.65,0.535
BNCI2015_001,9,1.0,0.6167,0.5233,0.0933,0.6167,1.0,0.5633,0.4286,0.5233,0.0,0.5233,0.0,0.5183,-0.0536,0.5233
BNCI2015_001,9,2.0,0.6167,0.5,0.1167,0.6167,1.0,0.595,0.8143,0.5,0.0,0.5,0.0,0.5,0.0,0.5
