dataset,target_subject,seed,branch,probe_bacc,null_bacc,null_ratio,chance
BNCI2015_001,7,0,graph_z,0.3406,0.0912,988.8,0.0909
BNCI2015_001,7,0,temporal_z,0.4495,0.0916,507.2143,0.0909
BNCI2015_001,7,0,spatial_z,0.8302,0.0897,739242.4242,0.0909
BNCI2015_001,7,0,fused_z,0.5727,0.0926,280.5882,0.0909
BNCI2015_001,8,0,graph_z,0.2761,0.0887,185151.5152,0.0909
BNCI2015_001,8,0,temporal_z,0.3838,0.0903,292878.7879,0.0909
BNCI2015_001,8,0,spatial_z,0.8139,0.0938,248.9739,0.0909
BNCI2015_001,8,0,fused_z,0.5402,0.0935,176.1386,0.0909
BNCI2015_001,9,0,graph_z,0.3402,0.0908,249318.1818,0.0909
BNCI2015_001,9,0,temporal_z,0.3906,0.0892,299696.9697,0.0909
BNCI2015_001,9,0,spatial_z,0.8333,0.0914,1400.0,0.0909
BNCI2015_001,9,0,fused_z,0.5983,0.0957,106.883,0.0909
