dataset,method,fold,target_subject,R3_task_drop_k2,R3_task_drop_k8,random_subspace_task_drop_k2,head_replay_ok
BNCI2015_001,fcigl_removal_aug_a0.5,9,10,0.026666666666666616,0.013333333333333308,-0.011666666666666714,True
BNCI2015_001,fcigl_removal_aug_a1.0,0,1,0.14750000000000002,0.13,0.0,True
BNCI2015_001,fcigl_removal_aug_a1.0,10,11,-0.011666666666666659,-0.065,0.015000000000000013,True
BNCI2015_001,fcigl_removal_aug_a1.0,11,12,-0.0025000000000000022,-0.04999999999999993,0.007500000000000007,True
BNCI2015_001,fcigl_removal_aug_a1.0,1,2,0.10499999999999998,0.25249999999999995,-0.015000000000000013,True
BNCI2015_001,fcigl_removal_aug_a1.0,2,3,0.01749999999999996,0.13249999999999995,0.01750000000000007,True
BNCI2015_001,fcigl_removal_aug_a1.0,3,4,0.10749999999999993,0.1349999999999999,0.012499999999999956,True
BNCI2015_001,fcigl_removal_aug_a1.0,4,5,0.05249999999999999,0.025000000000000022,-0.019999999999999907,True
BNCI2015_001,fcigl_removal_aug_a1.0,5,6,0.09999999999999998,0.10499999999999987,-0.0025000000000000577,True
BNCI2015_001,fcigl_removal_aug_a1.0,6,7,0.052499999999999936,0.012499999999999956,-0.020000000000000018,True
BNCI2015_001,fcigl_removal_aug_a1.0,7,8,0.020000000000000018,0.013333333333333308,0.008333333333333304,True
BNCI2015_001,fcigl_removal_aug_a1.0,8,9,-0.021666666666666612,0.036666666666666736,0.0050000000000000044,True
BNCI2015_001,fcigl_removal_aug_a1.0,9,10,0.030000000000000027,0.02833333333333332,0.00666666666666671,True
