dataset,backbone,eraser,chance_task,E_subject_removed,T_target_bAcc,T_target_bAcc_lo,T_target_NLL,tgt_bacc,task_collapse,binary_harm,benefit_claimable,benefit_block_reason
Lee2019_MI,TSMNet,RLACE,0.5,0.59277,-0.00312,-0.00633,-1.19226,0.66512,NO,NO,NO,no_bacc_gain
Lee2019_MI,TSMNet,random_k,0.5,0.00085,5e-05,-0.00132,-0.49595,0.66829,NO,NO,NO,no_bacc_gain
Cho2017,EEGNet,TOS_VD,0.5,0.24726,-0.00131,-0.00247,0.00441,0.64825,NO,NO,NO,no_bacc_gain
Cho2017,EEGNet,LEACE,0.5,0.30288,-0.14957,-0.18542,-0.00807,0.5,YES,YES,NO,task_collapse
Cho2017,EEGNet,INLP,0.5,0.30283,-0.14957,-0.18425,-0.00807,0.5,YES,YES,NO,task_collapse
Cho2017,EEGNet,RLACE,0.5,0.30278,-0.14957,-0.18464,-0.00807,0.5,YES,YES,NO,task_collapse
Cho2017,EEGNet,random_k,0.5,0.12198,-0.00694,-0.01039,-0.02065,0.64262,NO,NO,NO,no_bacc_gain
Cho2017,TSMNet,TOS_VD,0.5,0.01472,-3e-05,-0.00053,0.0378,0.62505,NO,NO,NO,no_bacc_gain
Cho2017,TSMNet,LEACE,0.5,0.99129,-0.0013,-0.0029,0.09598,0.62378,NO,NO,NO,no_bacc_gain
Cho2017,TSMNet,INLP,0.5,0.97576,-0.10511,-0.12686,-2.70845,0.51997,YES,YES,NO,task_collapse
Cho2017,TSMNet,RLACE,0.5,0.50337,-7e-05,-0.00417,-1.77832,0.62501,NO,NO,NO,no_bacc_gain
Cho2017,TSMNet,random_k,0.5,0.00039,-5e-05,-0.00206,-0.59095,0.62503,NO,NO,NO,no_bacc_gain
Schirrmeister2017,EEGNet,TOS_VD,0.25,0.53636,0.00072,-0.0002,0.01649,0.64104,NO,NO,NO,no_bacc_gain
Schirrmeister2017,EEGNet,LEACE,0.25,0.72416,-0.09122,-0.1127,-0.03676,0.54909,NO,NO,NO,no_bacc_gain
Schirrmeister2017,EEGNet,INLP,0.25,0.72929,-0.39031,-0.46173,-0.03377,0.25,YES,NO,NO,task_collapse
Schirrmeister2017,EEGNet,RLACE,0.25,0.65676,-0.03753,-0.05102,-0.16059,0.60279,NO,NO,NO,no_bacc_gain
Schirrmeister2017,EEGNet,random_k,0.25,0.16107,-0.02518,-0.03087,-0.00297,0.61513,NO,NO,NO,no_bacc_gain
Schirrmeister2017,TSMNet,TOS_VD,0.25,2e-05,0.0,-0.00011,0.00475,0.63013,NO,NO,NO,no_bacc_gain
Schirrmeister2017,TSMNet,LEACE,0.25,0.92662,-0.0008,-0.00471,0.20428,0.62933,NO,NO,NO,no_bacc_gain
Schirrmeister2017,TSMNet,INLP,0.25,0.93536,-0.25996,-0.30062,-1.26921,0.37017,NO,NO,NO,no_bacc_gain
Schirrmeister2017,TSMNet,RLACE,0.25,0.06132,-0.00349,-0.00768,0.33527,0.62663,NO,NO,NO,no_bacc_gain
Schirrmeister2017,TSMNet,random_k,0.25,0.0,-0.00022,-0.00057,0.00201,0.62991,NO,NO,NO,no_bacc_gain
