dataset,backbone,seed,fold,target_subject,split_id,n_calibration,n_audit,calibration_idx_hash,audit_idx_hash,calibration_label_hash,audit_label_hash,calibration_pool_hash,disjoint
Cho2017,EEGNet,0,1,1,1,100,100,0df26dd908f48c58,e5696c2bc78469d4,7a2d1817052f5e48,7a2d1817052f5e48,45b9f95332d3ef4a,True
Cho2017,EEGNet,0,1,1,2,100,100,d66df2bf71a29e1d,35c7d63913993caa,7a2d1817052f5e48,7a2d1817052f5e48,4f99d2fd3f1b25b9,True
Cho2017,EEGNet,0,1,1,3,100,100,6360b9191530c788,4ca5d7bbafcf4bb5,7a2d1817052f5e48,7a2d1817052f5e48,f8f33c577c7db7fe,True
Cho2017,EEGNet,0,1,1,4,100,100,61616b8f02e16139,6d0c6a3837ada87a,7a2d1817052f5e48,7a2d1817052f5e48,a8ab1b710595bfe1,True
Cho2017,EEGNet,0,1,1,5,100,100,12fea0e620c9aac0,a6edde258591818a,7a2d1817052f5e48,7a2d1817052f5e48,76a49d0e38bdc31d,True
Cho2017,EEGNet,0,1,1,6,100,100,9d62e0b8296c2784,6ac5d20aa3a0b5ab,7a2d1817052f5e48,7a2d1817052f5e48,97b1a6fba8304a6d,True
Cho2017,EEGNet,0,1,1,7,100,100,ad3dc5cf8406aebe,35799dcc2506f1d6,7a2d1817052f5e48,7a2d1817052f5e48,e936a9d4f6ac7da3,True
Cho2017,EEGNet,0,1,1,8,100,100,ccacf047845a1936,97b295a104a5627f,7a2d1817052f5e48,7a2d1817052f5e48,d388629c653ab7ca,True
Cho2017,EEGNet,0,1,1,9,100,100,efa6d0033bfd9498,263af3579d3a17bb,7a2d1817052f5e48,7a2d1817052f5e48,9358fab9a334a088,True
Cho2017,EEGNet,0,1,1,10,100,100,0701d1e17631d1e5,306aa1e4d7f7b2f4,7a2d1817052f5e48,7a2d1817052f5e48,85639b4d9b873fda,True
Cho2017,EEGNet,0,2,2,1,100,100,d14335c4403c005b,0b120187f634640b,7a2d1817052f5e48,7a2d1817052f5e48,fbcb4e4882f14894,True
Cho2017,EEGNet,0,2,2,2,100,100,4990d3b9ce2f6514,c4321dcdcef867f4,7a2d1817052f5e48,7a2d1817052f5e48,0a6d91c47ff8dc5e,True
Cho2017,EEGNet,0,2,2,3,100,100,2f6fd087752e53c6,863ed5792f623ed8,7a2d1817052f5e48,7a2d1817052f5e48,a93117c3d4691eca,True
Cho2017,EEGNet,0,2,2,4,100,100,68aaaf031d2d81a2,bc7d78d3ef080498,7a2d1817052f5e48,7a2d1817052f5e48,0d00296400ce7b60,True
Cho2017,EEGNet,0,2,2,5,100,100,c353f9ace197cd54,125d02deb07ad8be,7a2d1817052f5e48,7a2d1817052f5e48,2b86546ff1801f27,True
Cho2017,EEGNet,0,2,2,6,100,100,88ab6a8cdaa6e2a4,1a90017ab317c207,7a2d1817052f5e48,7a2d1817052f5e48,edf94440662a1ae4,True
Cho2017,EEGNet,0,2,2,7,100,100,54f88876f9c6561c,186333a1b5063587,7a2d1817052f5e48,7a2d1817052f5e48,5e5b2ecda9f9532c,True
Cho2017,EEGNet,0,2,2,8,100,100,3e3b512c005253ed,0e580a5d52f65dc2,7a2d1817052f5e48,7a2d1817052f5e48,f0153ea11c3e7745,True
Cho2017,EEGNet,0,2,2,9,100,100,56dfab9520041dd6,1c58dd26544d9fa0,7a2d1817052f5e48,7a2d1817052f5e48,1492b5109a6333a9,True
Cho2017,EEGNet,0,2,2,10,100,100,b43fb7eab901efc7,54d78261bffd3ddf,7a2d1817052f5e48,7a2d1817052f5e48,1cb08770130dd780,True
Cho2017,EEGNet,0,3,3,1,100,100,2874b984dfade056,fbd04d501185fde7,7a2d1817052f5e48,7a2d1817052f5e48,9b47f8d5d4791965,True
Cho2017,EEGNet,0,3,3,2,100,100,a437c1f7718d6c33,e0926a92255d8e92,7a2d1817052f5e48,7a2d1817052f5e48,c276350505d9ffe3,True
Cho2017,EEGNet,0,3,3,3,100,100,cc3acbfd30e57e71,a43baefff72f7ff1,7a2d1817052f5e48,7a2d1817052f5e48,0ae89a7cfa83b01b,True
Cho2017,EEGNet,0,3,3,4,100,100,121868d004b5c26c,4b35a3cdd7b45f53,7a2d1817052f5e48,7a2d1817052f5e48,d0477380928f83d4,True
Cho2017,EEGNet,0,3,3,5,100,100,cb67ac7ba539d8a7,f9490fc01a32a1a1,7a2d1817052f5e48,7a2d1817052f5e48,d3019eb704182ca4,True
Cho2017,EEGNet,0,3,3,6,100,100,2cf829d9b873718b,f21974ccd185d574,7a2d1817052f5e48,7a2d1817052f5e48,54efa3eea8be9787,True
Cho2017,EEGNet,0,3,3,7,100,100,6657437897e412a1,db8743c6528c3a33,7a2d1817052f5e48,7a2d1817052f5e48,c2c9c3448a1e9dad,True
Cho2017,EEGNet,0,3,3,8,100,100,d49ccb87cd4d5a07,808aa29bf0d2cb12,7a2d1817052f5e48,7a2d1817052f5e48,bc9174dc767b32ff,True
Cho2017,EEGNet,0,3,3,9,100,100,c102649e140d4e00,d6cd8590254f27ec,7a2d1817052f5e48,7a2d1817052f5e48,33a1694cbfffea49,True
Cho2017,EEGNet,0,3,3,10,100,100,a519521f530b8a91,44365cc92a7f95fa,7a2d1817052f5e48,7a2d1817052f5e48,3e0e9eedc8fba560,True
Cho2017,EEGNet,0,4,4,1,100,100,a7df242761585ebb,57ad4faa0e3af936,7a2d1817052f5e48,7a2d1817052f5e48,0b22194aec4cbd92,True
Cho2017,EEGNet,0,4,4,2,100,100,3e88d3db6c2a4c56,331e18cab4a6dd23,7a2d1817052f5e48,7a2d1817052f5e48,e4b4d6aa77480142,True
Cho2017,EEGNet,0,4,4,3,100,100,67b21eea3e55750d,f46e097648b1dfe8,7a2d1817052f5e48,7a2d1817052f5e48,6efd5cb3457c47a1,True
Cho2017,EEGNet,0,4,4,4,100,100,e81f060b63ec9f49,7c30c3cbcb7e84ad,7a2d1817052f5e48,7a2d1817052f5e48,9fea44f7d76f32bf,True
Cho2017,EEGNet,0,4,4,5,100,100,61b10af456ad9f8d,86a296249bd0b054,7a2d1817052f5e48,7a2d1817052f5e48,a68cf2c4e2afc873,True
Cho2017,EEGNet,0,4,4,6,100,100,0fcb7efa7498abad,2d0408f88c4f6a3b,7a2d1817052f5e48,7a2d1817052f5e48,bc05c9ec2a152579,True
Cho2017,EEGNet,0,4,4,7,100,100,ce5c9b84aefdaa80,8c32bfece54dfbeb,7a2d1817052f5e48,7a2d1817052f5e48,6b60d27d4bc62cd0,True
Cho2017,EEGNet,0,4,4,8,100,100,bf13f758e283c231,654f2d8539fcd0a3,7a2d1817052f5e48,7a2d1817052f5e48,672d6bc64bcbc6a0,True
Cho2017,EEGNet,0,4,4,9,100,100,94c8e5acc2ccf130,b46fdba40c3ef1a8,7a2d1817052f5e48,7a2d1817052f5e48,392ed547807154a6,True
Cho2017,EEGNet,0,4,4,10,100,100,ad46cd9c374c7c63,569a6e6764ae062c,7a2d1817052f5e48,7a2d1817052f5e48,7eb015fcc09994d4,True
Cho2017,EEGNet,0,5,5,1,100,100,999ed16ead8676bd,62dc50e2e4b640b7,7a2d1817052f5e48,7a2d1817052f5e48,a8a7e5b72b64d6ae,True
Cho2017,EEGNet,0,5,5,2,100,100,0b40fe133fa03390,76934887901bbb27,7a2d1817052f5e48,7a2d1817052f5e48,247460b7a31b447c,True
Cho2017,EEGNet,0,5,5,3,100,100,279a1de97e7c9feb,58f69984e1fcfbae,7a2d1817052f5e48,7a2d1817052f5e48,d88ae0b32030d798,True
Cho2017,EEGNet,0,5,5,4,100,100,4027bf8167ee8bc8,e026d172e74f72f9,7a2d1817052f5e48,7a2d1817052f5e48,69d1247bb8c2c0fc,True
Cho2017,EEGNet,0,5,5,5,100,100,8b0dd5044d087115,c9fb7c9363578091,7a2d1817052f5e48,7a2d1817052f5e48,e2731330b52ef299,True
Cho2017,EEGNet,0,5,5,6,100,100,3dbec4d47220c707,ee606f6a7272b646,7a2d1817052f5e48,7a2d1817052f5e48,b903e84afb30eb9a,True
Cho2017,EEGNet,0,5,5,7,100,100,7a7ec5fbaf6503b7,b72b8ae23b43041d,7a2d1817052f5e48,7a2d1817052f5e48,ea183d059369d08f,True
Cho2017,EEGNet,0,5,5,8,100,100,42decbcfa7f2cd30,57256f87c5d12c70,7a2d1817052f5e48,7a2d1817052f5e48,092021d5ad22ee2d,True
Cho2017,EEGNet,0,5,5,9,100,100,d2313e0b0bc0f9e1,1e6fc30290c44a56,7a2d1817052f5e48,7a2d1817052f5e48,55bf69da6a9aa1d7,True
Cho2017,EEGNet,0,5,5,10,100,100,71216ab739187dd1,0b5b6e357c6455b6,7a2d1817052f5e48,7a2d1817052f5e48,44076a96e1b358a2,True
