dataset,target_subject,token_seed,gamma,l4_conflict_target,l5_conflict_src_heldout
BNCI2014_001,7,20260723,0.2,0.0647,-0.0182
BNCI2014_001,7,20260723,0.4,0.0551,-0.0738
BNCI2014_001,8,20260723,0.0,0.0391,0.0078
BNCI2014_001,8,20260723,0.2,0.064,-0.0208
BNCI2014_001,8,20260723,0.4,0.0483,0.0148
BNCI2014_001,9,20260723,0.0,0.0311,-0.0078
BNCI2014_001,9,20260723,0.2,0.0505,0.0382
BNCI2014_001,9,20260723,0.4,0.036,-0.0052
BNCI2015_001,10,20260723,0.0,0.0979,0.1967
BNCI2015_001,10,20260723,0.2,0.0687,0.0383
BNCI2015_001,10,20260723,0.4,0.0535,-0.0208
BNCI2015_001,11,20260723,0.0,0.1061,0.0236
BNCI2015_001,11,20260723,0.2,0.0735,-0.015
BNCI2015_001,11,20260723,0.4,0.0494,-0.0629
BNCI2015_001,12,20260723,0.0,0.0897,0.0233
BNCI2015_001,12,20260723,0.2,0.0761,0.0533
BNCI2015_001,12,20260723,0.4,0.0296,0.0661
BNCI2015_001,1,20260723,0.0,0.0888,0.0929
BNCI2015_001,1,20260723,0.2,0.1076,0.0957
BNCI2015_001,1,20260723,0.4,0.0867,0.07
BNCI2015_001,2,20260723,0.0,0.1179,0.1129
BNCI2015_001,2,20260723,0.2,0.115,0.0093
BNCI2015_001,2,20260723,0.4,0.1062,0.02
BNCI2015_001,3,20260723,0.0,0.1748,0.1236
BNCI2015_001,3,20260723,0.2,0.0901,0.0986
BNCI2015_001,3,20260723,0.4,0.0686,0.0564
BNCI2015_001,4,20260723,0.0,0.1305,-0.0175
BNCI2015_001,4,20260723,0.2,0.0659,0.0044
BNCI2015_001,4,20260723,0.4,0.0466,0.0019
BNCI2015_001,5,20260723,0.0,0.1379,0.0189
BNCI2015_001,5,20260723,0.2,0.0509,-0.0311
BNCI2015_001,5,20260723,0.4,0.0438,-0.0117
BNCI2015_001,6,20260723,0.0,0.0519,0.0193
BNCI2015_001,6,20260723,0.2,0.0534,0.0621
BNCI2015_001,6,20260723,0.4,0.0499,0.0571
BNCI2015_001,7,20260723,0.0,0.1238,0.0221
BNCI2015_001,7,20260723,0.2,0.052,0.0364
BNCI2015_001,7,20260723,0.4,0.0335,-0.0636
BNCI2015_001,8,20260723,0.0,0.0715,0.1021
BNCI2015_001,8,20260723,0.2,0.0476,0.0171
BNCI2015_001,8,20260723,0.4,0.0163,-0.0193
BNCI2015_001,9,20260723,0.0,0.0953,0.0443
BNCI2015_001,9,20260723,0.2,0.056,0.0057
BNCI2015_001,9,20260723,0.4,0.0809,0.0136
BNCI2014_001,1,20260724,0.0,0.0477,0.0069
BNCI2014_001,1,20260724,0.2,0.031,-0.0278
BNCI2014_001,1,20260724,0.4,0.0869,-0.033
BNCI2014_001,2,20260724,0.0,0.0353,0.0634
BNCI2014_001,2,20260724,0.2,0.0362,-0.0625
BNCI2014_001,2,20260724,0.4,0.0314,-0.0651
BNCI2014_001,3,20260724,0.0,0.0394,0.013
BNCI2014_001,3,20260724,0.2,0.0553,-0.0208
BNCI2014_001,3,20260724,0.4,0.0868,-0.0217
BNCI2014_001,4,20260724,0.0,0.0506,0.0174
BNCI2014_001,4,20260724,0.2,0.0547,0.0009
BNCI2014_001,4,20260724,0.4,0.0595,0.026
BNCI2014_001,5,20260724,0.0,0.0368,0.0069
BNCI2014_001,5,20260724,0.2,0.0481,0.0304
BNCI2014_001,5,20260724,0.4,0.0566,0.0234
BNCI2014_001,6,20260724,0.0,0.0652,-0.0408
BNCI2014_001,6,20260724,0.2,0.0482,0.0035
BNCI2014_001,6,20260724,0.4,0.0472,0.0816
BNCI2014_001,7,20260724,0.0,0.0356,0.0182
BNCI2014_001,7,20260724,0.2,0.0557,0.0208
BNCI2014_001,7,20260724,0.4,0.0562,0.0356
BNCI2014_001,8,20260724,0.0,0.0489,0.0182
BNCI2014_001,8,20260724,0.2,0.0304,0.0234
BNCI2014_001,8,20260724,0.4,0.0383,0.0868
BNCI2014_001,9,20260724,0.0,0.0401,0.0104
BNCI2014_001,9,20260724,0.2,0.0556,0.0833
BNCI2014_001,9,20260724,0.4,0.0447,0.0538
BNCI2015_001,10,20260724,0.0,0.1257,0.0393
BNCI2015_001,10,20260724,0.2,0.0809,0.0086
BNCI2015_001,10,20260724,0.4,0.0562,0.0329
BNCI2015_001,11,20260724,0.0,0.1043,0.02
BNCI2015_001,11,20260724,0.2,0.0754,0.0367
BNCI2015_001,11,20260724,0.4,0.0248,0.0433
BNCI2015_001,12,20260724,0.0,0.0782,0.0294
BNCI2015_001,12,20260724,0.2,0.0549,0.0919
BNCI2015_001,12,20260724,0.4,0.0336,0.1338
BNCI2015_001,1,20260724,0.0,0.0711,0.0964
BNCI2015_001,1,20260724,0.2,0.0791,0.1521
BNCI2015_001,1,20260724,0.4,0.063,0.1336
BNCI2015_001,2,20260724,0.0,0.1539,0.1088
BNCI2015_001,2,20260724,0.2,0.1721,0.11
BNCI2015_001,2,20260724,0.4,0.1456,0.0887
BNCI2015_001,3,20260724,0.0,0.1861,0.0028
BNCI2015_001,3,20260724,0.2,0.1129,0.0406
BNCI2015_001,3,20260724,0.4,0.0643,0.0844
BNCI2015_001,4,20260724,0.0,0.1344,0.1486
BNCI2015_001,4,20260724,0.2,0.0626,0.0664
BNCI2015_001,4,20260724,0.4,0.0709,0.0086
BNCI2015_001,5,20260724,0.0,0.1505,-0.0593
BNCI2015_001,5,20260724,0.2,0.0544,-0.0364
BNCI2015_001,5,20260724,0.4,0.0461,-0.025
BNCI2015_001,6,20260724,0.0,0.0623,0.0186
BNCI2015_001,6,20260724,0.2,0.0616,0.005
BNCI2015_001,6,20260724,0.4,0.0521,-0.0014
BNCI2015_001,7,20260724,0.0,0.1445,0.0283
BNCI2015_001,7,20260724,0.2,0.0541,0.0589
BNCI2015_001,7,20260724,0.4,0.0329,0.0783
BNCI2015_001,8,20260724,0.0,0.1176,0.1683
BNCI2015_001,8,20260724,0.2,0.0733,0.0308
BNCI2015_001,8,20260724,0.4,0.0212,-0.1433
BNCI2015_001,9,20260724,0.0,0.1158,-0.025
BNCI2015_001,9,20260724,0.2,0.1072,-0.0256
BNCI2015_001,9,20260724,0.4,0.0415,0.0356
BNCI2014_001,1,20260725,0.0,0.0623,0.0286
BNCI2014_001,1,20260725,0.2,0.045,0.0278
BNCI2014_001,1,20260725,0.4,0.079,-0.0182
BNCI2014_001,2,20260725,0.0,0.0224,-0.0087
BNCI2014_001,2,20260725,0.2,0.0347,0.013
BNCI2014_001,2,20260725,0.4,0.0319,0.0217
BNCI2014_001,3,20260725,0.0,0.0265,0.0122
BNCI2014_001,3,20260725,0.2,0.0387,0.0104
BNCI2014_001,3,20260725,0.4,0.0629,-0.0278
BNCI2014_001,4,20260725,0.0,0.0302,0.0035
BNCI2014_001,4,20260725,0.2,0.0484,-0.0061
BNCI2014_001,4,20260725,0.4,0.0722,-0.0104
BNCI2014_001,5,20260725,0.0,0.0312,0.0373
BNCI2014_001,5,20260725,0.2,0.0646,0.0972
BNCI2014_001,5,20260725,0.4,0.0659,0.1076
BNCI2014_001,6,20260725,0.0,0.0597,0.0356
BNCI2014_001,6,20260725,0.2,0.0609,0.0122
BNCI2014_001,6,20260725,0.4,0.0581,0.0495
BNCI2014_001,7,20260725,0.0,0.0331,0.0095
BNCI2014_001,7,20260725,0.2,0.0496,0.0026
BNCI2014_001,7,20260725,0.4,0.0459,0.0304
BNCI2014_001,8,20260725,0.0,0.0392,0.0017
BNCI2014_001,8,20260725,0.2,0.0293,-0.0191
BNCI2014_001,8,20260725,0.4,0.0541,-0.0469
BNCI2014_001,9,20260725,0.0,0.0407,-0.0122
BNCI2014_001,9,20260725,0.2,0.0395,0.0399
BNCI2014_001,9,20260725,0.4,0.0522,0.0373
BNCI2015_001,10,20260725,0.0,0.0841,-0.0279
BNCI2015_001,10,20260725,0.2,0.0635,-0.0379
BNCI2015_001,10,20260725,0.4,0.042,0.0129
BNCI2015_001,11,20260725,0.0,0.1003,0.0386
BNCI2015_001,11,20260725,0.2,0.0659,0.005
BNCI2015_001,11,20260725,0.4,0.0403,0.0307
BNCI2015_001,12,20260725,0.0,0.0954,0.025
BNCI2015_001,12,20260725,0.2,0.0734,0.0256
BNCI2015_001,12,20260725,0.4,0.0244,0.0272
BNCI2015_001,1,20260725,0.0,0.0787,0.065
BNCI2015_001,1,20260725,0.2,0.0812,0.005
BNCI2015_001,1,20260725,0.4,0.0704,0.0129
BNCI2015_001,2,20260725,0.0,0.1275,0.1136
BNCI2015_001,2,20260725,0.2,0.1337,0.1007
BNCI2015_001,2,20260725,0.4,0.0997,0.0993
BNCI2015_001,3,20260725,0.0,0.1768,0.235
BNCI2015_001,3,20260725,0.2,0.1368,0.2525
BNCI2015_001,3,20260725,0.4,0.078,0.2233
BNCI2015_001,4,20260725,0.0,0.1339,0.0558
BNCI2015_001,4,20260725,0.2,0.0513,0.0067
BNCI2015_001,4,20260725,0.4,0.0933,0.0508
BNCI2015_001,5,20260725,0.0,0.1144,0.0483
BNCI2015_001,5,20260725,0.2,0.0378,0.005
BNCI2015_001,5,20260725,0.4,0.0713,-0.005
BNCI2015_001,6,20260725,0.0,0.0495,0.0271
BNCI2015_001,6,20260725,0.2,0.0514,-0.0014
BNCI2015_001,6,20260725,0.4,0.0351,0.0043
BNCI2015_001,7,20260725,0.0,0.139,0.05
BNCI2015_001,7,20260725,0.2,0.0632,0.0136
BNCI2015_001,7,20260725,0.4,0.0363,0.0371
BNCI2015_001,8,20260725,0.0,0.1113,-0.0071
BNCI2015_001,8,20260725,0.2,0.0615,0.0257
BNCI2015_001,8,20260725,0.4,0.0212,-0.0121
BNCI2015_001,9,20260725,0.0,0.0992,0.0071
BNCI2015_001,9,20260725,0.2,0.0902,0.0093
BNCI2015_001,9,20260725,0.4,0.0769,-0.0064
BNCI2014_001,1,20260726,0.0,0.0588,0.0069
BNCI2014_001,1,20260726,0.2,0.0621,0.0911
BNCI2014_001,1,20260726,0.4,0.0997,0.079
BNCI2014_001,2,20260726,0.0,0.0226,0.02
BNCI2014_001,2,20260726,0.2,0.0428,-0.0139
BNCI2014_001,2,20260726,0.4,0.0522,0.0035
BNCI2014_001,3,20260726,0.0,0.0347,0.0122
BNCI2014_001,3,20260726,0.2,0.0461,-0.0191
BNCI2014_001,3,20260726,0.4,0.0539,-0.0339
BNCI2014_001,4,20260726,0.0,0.0359,0.0373
BNCI2014_001,4,20260726,0.2,0.0575,-0.0087
BNCI2014_001,4,20260726,0.4,0.0654,-0.059
BNCI2014_001,5,20260726,0.0,0.0325,0.0061
BNCI2014_001,5,20260726,0.2,0.0638,-0.0061
BNCI2014_001,5,20260726,0.4,0.1001,-0.0174
BNCI2014_001,6,20260726,0.0,0.0558,0.0304
BNCI2014_001,6,20260726,0.2,0.06,-0.0078
BNCI2014_001,6,20260726,0.4,0.059,-0.0061
BNCI2014_001,7,20260726,0.0,0.0403,-0.0069
BNCI2014_001,7,20260726,0.2,0.0558,-0.0885
BNCI2014_001,7,20260726,0.4,0.0399,-0.033
BNCI2014_001,8,20260726,0.0,0.0474,0.0035
BNCI2014_001,8,20260726,0.2,0.0456,0.0156
BNCI2014_001,8,20260726,0.4,0.0679,0.0191
BNCI2014_001,9,20260726,0.0,0.0326,-0.0061
BNCI2014_001,9,20260726,0.2,0.0341,-0.013
BNCI2014_001,9,20260726,0.4,0.0545,0.0286
BNCI2015_001,10,20260726,0.0,0.0853,0.1133
BNCI2015_001,10,20260726,0.2,0.0635,0.08
BNCI2015_001,10,20260726,0.4,0.0369,0.2242
BNCI2015_001,11,20260726,0.0,0.099,0.0112
BNCI2015_001,11,20260726,0.2,0.053,0.05
BNCI2015_001,11,20260726,0.4,0.0424,0.1038
BNCI2015_001,12,20260726,0.0,0.0947,0.0271
BNCI2015_001,12,20260726,0.2,0.0638,0.0421
BNCI2015_001,12,20260726,0.4,0.028,0.01
BNCI2015_001,1,20260726,0.0,0.0649,0.0071
BNCI2015_001,1,20260726,0.2,0.0821,-0.0029
BNCI2015_001,1,20260726,0.4,0.0675,-0.055
BNCI2015_001,2,20260726,0.0,0.1112,0.085
BNCI2015_001,2,20260726,0.2,0.1128,0.0207
BNCI2015_001,2,20260726,0.4,0.0906,0.0329
BNCI2015_001,3,20260726,0.0,0.187,0.0975
BNCI2015_001,3,20260726,0.2,0.1227,0.1613
BNCI2015_001,3,20260726,0.4,0.0622,0.0863
BNCI2015_001,4,20260726,0.0,0.1379,0.0469
BNCI2015_001,4,20260726,0.2,0.0484,0.03
BNCI2015_001,4,20260726,0.4,0.0698,-0.0237
BNCI2015_001,5,20260726,0.0,0.1116,0.0025
BNCI2015_001,5,20260726,0.2,0.0524,0.0025
BNCI2015_001,5,20260726,0.4,0.0627,-0.0237
BNCI2015_001,6,20260726,0.0,0.056,-0.0013
BNCI2015_001,6,20260726,0.2,0.0532,-0.0162
BNCI2015_001,6,20260726,0.4,0.0548,-0.0088
BNCI2015_001,7,20260726,0.0,0.1247,0.0471
BNCI2015_001,7,20260726,0.2,0.0693,0.0443
BNCI2015_001,7,20260726,0.4,0.0267,0.0043
BNCI2015_001,8,20260726,0.0,0.0806,0.0457
BNCI2015_001,8,20260726,0.2,0.0592,0.1014
BNCI2015_001,8,20260726,0.4,0.0154,0.0721
BNCI2015_001,9,20260726,0.0,0.092,0.0586
BNCI2015_001,9,20260726,0.2,0.0705,0.0721
BNCI2015_001,9,20260726,0.4,0.0685,0.075
BNCI2014_001,1,20260727,0.0,0.0532,0.0087
BNCI2014_001,1,20260727,0.2,0.0272,-0.0026
BNCI2014_001,1,20260727,0.4,0.0799,-0.013
BNCI2014_001,2,20260727,0.0,0.0228,-0.0113
BNCI2014_001,2,20260727,0.2,0.0428,0.0365
BNCI2014_001,2,20260727,0.4,0.0459,0.0243
BNCI2014_001,3,20260727,0.0,0.0266,0.0078
BNCI2014_001,3,20260727,0.2,0.0474,0.02
BNCI2014_001,3,20260727,0.4,0.0711,0.0208
BNCI2014_001,4,20260727,0.0,0.0405,0.0061
BNCI2014_001,4,20260727,0.2,0.0581,-0.0122
BNCI2014_001,4,20260727,0.4,0.0426,-0.026
BNCI2014_001,5,20260727,0.0,0.0217,0.0321
BNCI2014_001,5,20260727,0.2,0.0623,0.0069
BNCI2014_001,5,20260727,0.4,0.0874,0.1163
BNCI2014_001,6,20260727,0.0,0.0515,0.013
BNCI2014_001,6,20260727,0.2,0.0428,0.0269
BNCI2014_001,6,20260727,0.4,0.0937,0.0
BNCI2014_001,7,20260727,0.0,0.04,-0.0009
BNCI2014_001,7,20260727,0.2,0.0548,-0.0026
BNCI2014_001,7,20260727,0.4,0.0799,-0.0339
BNCI2014_001,8,20260727,0.0,0.0382,0.0113
BNCI2014_001,8,20260727,0.2,0.032,0.0061
BNCI2014_001,8,20260727,0.4,0.0373,-0.033
BNCI2014_001,9,20260727,0.0,0.0427,0.0148
BNCI2014_001,9,20260727,0.2,0.0314,0.0208
BNCI2014_001,9,20260727,0.4,0.0686,0.0252
BNCI2015_001,10,20260727,0.0,0.09,0.0786
BNCI2015_001,10,20260727,0.2,0.058,0.1236
BNCI2015_001,10,20260727,0.4,0.0274,0.1014
BNCI2015_001,11,20260727,0.0,0.0995,-0.0183
BNCI2015_001,11,20260727,0.2,0.0656,0.0167
BNCI2015_001,11,20260727,0.4,0.0448,-0.0133
BNCI2015_001,12,20260727,0.0,0.0808,0.0243
BNCI2015_001,12,20260727,0.2,0.0519,0.0457
BNCI2015_001,12,20260727,0.4,0.0295,0.0407
BNCI2015_001,1,20260727,0.0,0.087,0.0543
BNCI2015_001,1,20260727,0.2,0.0916,0.0471
BNCI2015_001,1,20260727,0.4,0.1247,0.0514
BNCI2015_001,2,20260727,0.0,0.1171,0.0356
BNCI2015_001,2,20260727,0.2,0.0694,0.1225
BNCI2015_001,2,20260727,0.4,0.1521,0.1512
BNCI2015_001,3,20260727,0.0,0.1758,0.105
BNCI2015_001,3,20260727,0.2,0.0956,0.1343
BNCI2015_001,3,20260727,0.4,0.0562,0.0814
BNCI2015_001,4,20260727,0.0,0.1004,0.1379
BNCI2015_001,4,20260727,0.2,0.043,0.0064
BNCI2015_001,4,20260727,0.4,0.0553,0.0964
BNCI2015_001,5,20260727,0.0,0.1415,-0.0413
BNCI2015_001,5,20260727,0.2,0.0474,-0.0169
BNCI2015_001,5,20260727,0.4,0.0265,-0.0325
BNCI2015_001,6,20260727,0.0,0.0505,-0.015
BNCI2015_001,6,20260727,0.2,0.0378,0.0064
BNCI2015_001,6,20260727,0.4,0.0363,0.0736
BNCI2015_001,7,20260727,0.0,0.1367,0.0717
BNCI2015_001,7,20260727,0.2,0.0574,-0.0033
BNCI2015_001,7,20260727,0.4,0.0213,-0.0292
BNCI2015_001,8,20260727,0.0,0.0723,0.1493
BNCI2015_001,8,20260727,0.2,0.0343,0.0929
BNCI2015_001,8,20260727,0.4,0.021,0.0286
BNCI2015_001,9,20260727,0.0,0.0939,0.0233
BNCI2015_001,9,20260727,0.2,0.0522,-0.0325
BNCI2015_001,9,20260727,0.4,0.073,-0.0233
BNCI2014_001,1,20260728,0.0,0.0461,-0.0148
BNCI2014_001,1,20260728,0.2,0.0567,0.0234
BNCI2014_001,1,20260728,0.4,0.0704,0.0208
BNCI2014_001,2,20260728,0.0,0.018,0.0286
BNCI2014_001,2,20260728,0.2,0.0353,0.0043
BNCI2014_001,2,20260728,0.4,0.0433,0.0321
BNCI2014_001,3,20260728,0.0,0.0261,0.0095
BNCI2014_001,3,20260728,0.2,0.0329,0.0009
BNCI2014_001,3,20260728,0.4,0.0559,-0.0347
BNCI2014_001,4,20260728,0.0,0.025,-0.0052
BNCI2014_001,4,20260728,0.2,0.0535,-0.0408
BNCI2014_001,4,20260728,0.4,0.0519,0.0139
BNCI2014_001,5,20260728,0.0,0.0335,0.02
BNCI2014_001,5,20260728,0.2,0.0571,0.0295
BNCI2014_001,5,20260728,0.4,0.0745,0.0616
BNCI2014_001,6,20260728,0.0,0.0625,0.0156
BNCI2014_001,6,20260728,0.2,0.067,0.0043
BNCI2014_001,6,20260728,0.4,0.0653,-0.0069
BNCI2014_001,7,20260728,0.0,0.0315,-0.0052
BNCI2014_001,7,20260728,0.2,0.0444,0.0009
BNCI2014_001,7,20260728,0.4,0.0422,-0.0391
BNCI2014_001,8,20260728,0.0,0.0348,-0.0156
BNCI2014_001,8,20260728,0.2,0.0549,-0.026
BNCI2014_001,8,20260728,0.4,0.0347,-0.0547
BNCI2014_001,9,20260728,0.0,0.0613,-0.0061
BNCI2014_001,9,20260728,0.2,0.0231,-0.0009
BNCI2014_001,9,20260728,0.4,0.0634,-0.0347
BNCI2015_001,10,20260728,0.0,0.0894,0.0121
BNCI2015_001,10,20260728,0.2,0.056,0.0443
BNCI2015_001,10,20260728,0.4,0.0403,0.0129
BNCI2015_001,11,20260728,0.0,0.1033,-0.0007
BNCI2015_001,11,20260728,0.2,0.0707,-0.0136
BNCI2015_001,11,20260728,0.4,0.0412,-0.0657
BNCI2015_001,12,20260728,0.0,0.07,0.0364
BNCI2015_001,12,20260728,0.2,0.0642,0.06
BNCI2015_001,12,20260728,0.4,0.0252,0.065
BNCI2015_001,1,20260728,0.0,0.0724,0.0025
