dataset,target_subject,token_seed,gamma,H0_tgt,Hconflict_tgt,Hshuffle_tgt,target_harm
BNCI2015_001,10,20260721,0.0,0.6033,0.6033,0.6033,0.0
BNCI2015_001,10,20260721,0.2,0.6033,0.6267,0.625,-0.0233
BNCI2015_001,10,20260721,0.4,0.6033,0.6,0.5567,0.0033
BNCI2015_001,11,20260721,0.0,0.5183,0.5183,0.5183,0.0
BNCI2015_001,11,20260721,0.2,0.5183,0.5033,0.5183,0.015
BNCI2015_001,11,20260721,0.4,0.5183,0.4683,0.5,0.05
BNCI2015_001,12,20260721,0.0,0.535,0.535,0.535,0.0
BNCI2015_001,12,20260721,0.2,0.535,0.535,0.525,0.0
BNCI2015_001,12,20260721,0.4,0.535,0.4925,0.5275,0.0425
BNCI2015_001,1,20260721,0.0,0.635,0.635,0.635,0.0
BNCI2015_001,1,20260721,0.2,0.635,0.7875,0.7775,-0.1525
BNCI2015_001,1,20260721,0.4,0.635,0.76,0.4375,-0.125
BNCI2015_001,2,20260721,0.0,0.795,0.795,0.795,0.0
BNCI2015_001,2,20260721,0.2,0.795,0.735,0.6425,0.06
BNCI2015_001,2,20260721,0.4,0.795,0.685,0.7525,0.11
BNCI2015_001,3,20260721,0.0,0.515,0.515,0.515,0.0
BNCI2015_001,3,20260721,0.2,0.515,0.5075,0.525,0.0075
BNCI2015_001,3,20260721,0.4,0.515,0.5675,0.4975,-0.0525
BNCI2015_001,4,20260721,0.0,0.7975,0.7975,0.7975,0.0
BNCI2015_001,4,20260721,0.2,0.7975,0.7425,0.74,0.055
BNCI2015_001,4,20260721,0.4,0.7975,0.5775,0.43,0.22
BNCI2015_001,5,20260721,0.0,0.735,0.735,0.735,0.0
BNCI2015_001,5,20260721,0.2,0.735,0.7425,0.69,-0.0075
BNCI2015_001,5,20260721,0.4,0.735,0.615,0.5175,0.12
BNCI2015_001,6,20260721,0.0,0.6425,0.6425,0.6425,0.0
BNCI2015_001,6,20260721,0.2,0.6425,0.62,0.6225,0.0225
BNCI2015_001,6,20260721,0.4,0.6425,0.555,0.5925,0.0875
BNCI2015_001,7,20260721,0.0,0.545,0.545,0.545,0.0
BNCI2015_001,7,20260721,0.2,0.545,0.5275,0.5425,0.0175
BNCI2015_001,7,20260721,0.4,0.545,0.4575,0.6475,0.0875
BNCI2015_001,8,20260721,0.0,0.5583,0.5583,0.5583,0.0
BNCI2015_001,8,20260721,0.2,0.5583,0.5183,0.5217,0.04
BNCI2015_001,8,20260721,0.4,0.5583,0.4617,0.5033,0.0967
BNCI2015_001,9,20260721,0.0,0.6383,0.6383,0.6383,0.0
BNCI2015_001,9,20260721,0.2,0.6383,0.6167,0.6133,0.0217
BNCI2015_001,9,20260721,0.4,0.6383,0.53,0.5117,0.1083
BNCI2014_001,1,20260722,0.0,0.4757,0.4757,0.4757,0.0
BNCI2014_001,1,20260722,0.2,0.4757,0.4062,0.4427,0.0694
BNCI2014_001,1,20260722,0.4,0.4757,0.3247,0.441,0.151
BNCI2014_001,2,20260722,0.0,0.2517,0.2517,0.2517,0.0
BNCI2014_001,2,20260722,0.2,0.2517,0.25,0.2708,0.0017
BNCI2014_001,2,20260722,0.4,0.2517,0.2656,0.2465,-0.0139
BNCI2014_001,3,20260722,0.0,0.5747,0.5747,0.5747,0.0
BNCI2014_001,3,20260722,0.2,0.5747,0.474,0.4392,0.1007
BNCI2014_001,3,20260722,0.4,0.5747,0.467,0.3785,0.1076
BNCI2014_001,4,20260722,0.0,0.3455,0.3455,0.3455,0.0
BNCI2014_001,4,20260722,0.2,0.3455,0.3003,0.349,0.0451
BNCI2014_001,4,20260722,0.4,0.3455,0.2587,0.2847,0.0868
BNCI2014_001,5,20260722,0.0,0.2743,0.2743,0.2743,0.0
BNCI2014_001,5,20260722,0.2,0.2743,0.2483,0.2535,0.026
BNCI2014_001,5,20260722,0.4,0.2743,0.2535,0.2691,0.0208
BNCI2014_001,6,20260722,0.0,0.2865,0.2865,0.2865,0.0
BNCI2014_001,6,20260722,0.2,0.2865,0.2691,0.2899,0.0174
BNCI2014_001,6,20260722,0.4,0.2865,0.2413,0.2483,0.0451
BNCI2014_001,7,20260722,0.0,0.2795,0.2795,0.2795,0.0
BNCI2014_001,7,20260722,0.2,0.2795,0.2622,0.2882,0.0174
BNCI2014_001,7,20260722,0.4,0.2795,0.3073,0.2674,-0.0278
BNCI2014_001,8,20260722,0.0,0.5469,0.5469,0.5469,0.0
BNCI2014_001,8,20260722,0.2,0.5469,0.4826,0.5052,0.0642
BNCI2014_001,8,20260722,0.4,0.5469,0.4288,0.375,0.1181
BNCI2014_001,9,20260722,0.0,0.4444,0.4444,0.4444,0.0
BNCI2014_001,9,20260722,0.2,0.4444,0.4288,0.3906,0.0156
BNCI2014_001,9,20260722,0.4,0.4444,0.3681,0.316,0.0764
BNCI2015_001,10,20260722,0.0,0.5967,0.5967,0.5967,0.0
BNCI2015_001,10,20260722,0.2,0.5967,0.6167,0.5767,-0.02
BNCI2015_001,10,20260722,0.4,0.5967,0.575,0.5533,0.0217
BNCI2015_001,11,20260722,0.0,0.5217,0.5217,0.5217,0.0
BNCI2015_001,11,20260722,0.2,0.5217,0.5017,0.505,0.02
BNCI2015_001,11,20260722,0.4,0.5217,0.4833,0.5017,0.0383
BNCI2015_001,12,20260722,0.0,0.5375,0.5375,0.5375,0.0
BNCI2015_001,12,20260722,0.2,0.5375,0.5175,0.535,0.02
BNCI2015_001,12,20260722,0.4,0.5375,0.505,0.5325,0.0325
BNCI2015_001,1,20260722,0.0,0.6275,0.6275,0.6275,0.0
BNCI2015_001,1,20260722,0.2,0.6275,0.6925,0.72,-0.065
BNCI2015_001,1,20260722,0.4,0.6275,0.6925,0.51,-0.065
BNCI2015_001,2,20260722,0.0,0.785,0.785,0.785,0.0
BNCI2015_001,2,20260722,0.2,0.785,0.7475,0.7925,0.0375
BNCI2015_001,2,20260722,0.4,0.785,0.5875,0.525,0.1975
BNCI2015_001,3,20260722,0.0,0.5175,0.5175,0.5175,0.0
BNCI2015_001,3,20260722,0.2,0.5175,0.5075,0.5425,0.01
BNCI2015_001,3,20260722,0.4,0.5175,0.55,0.4,-0.0325
BNCI2015_001,4,20260722,0.0,0.795,0.795,0.795,0.0
BNCI2015_001,4,20260722,0.2,0.795,0.74,0.785,0.055
BNCI2015_001,4,20260722,0.4,0.795,0.5375,0.725,0.2575
BNCI2015_001,5,20260722,0.0,0.74,0.74,0.74,0.0
BNCI2015_001,5,20260722,0.2,0.74,0.7225,0.7175,0.0175
BNCI2015_001,5,20260722,0.4,0.74,0.6275,0.61,0.1125
BNCI2015_001,6,20260722,0.0,0.64,0.64,0.64,0.0
BNCI2015_001,6,20260722,0.2,0.64,0.625,0.625,0.015
BNCI2015_001,6,20260722,0.4,0.64,0.5675,0.7,0.0725
BNCI2015_001,7,20260722,0.0,0.5475,0.5475,0.5475,0.0
BNCI2015_001,7,20260722,0.2,0.5475,0.52,0.51,0.0275
BNCI2015_001,7,20260722,0.4,0.5475,0.485,0.615,0.0625
BNCI2015_001,8,20260722,0.0,0.5517,0.5517,0.5517,0.0
BNCI2015_001,8,20260722,0.2,0.5517,0.5317,0.565,0.02
BNCI2015_001,8,20260722,0.4,0.5517,0.4667,0.49,0.085
BNCI2015_001,9,20260722,0.0,0.6317,0.6317,0.6317,0.0
BNCI2015_001,9,20260722,0.2,0.6317,0.63,0.6267,0.0017
BNCI2015_001,9,20260722,0.4,0.6317,0.5633,0.4733,0.0683
BNCI2014_001,1,20260723,0.0,0.4809,0.4809,0.4809,0.0
BNCI2014_001,1,20260723,0.2,0.4809,0.4306,0.4427,0.0503
BNCI2014_001,1,20260723,0.4,0.4809,0.349,0.401,0.1319
BNCI2014_001,2,20260723,0.0,0.2535,0.2535,0.2535,0.0
BNCI2014_001,2,20260723,0.2,0.2535,0.2778,0.2431,-0.0243
BNCI2014_001,2,20260723,0.4,0.2535,0.2847,0.2083,-0.0312
BNCI2014_001,3,20260723,0.0,0.559,0.559,0.559,0.0
BNCI2014_001,3,20260723,0.2,0.559,0.5104,0.5816,0.0486
BNCI2014_001,3,20260723,0.4,0.559,0.4688,0.4427,0.0903
BNCI2014_001,4,20260723,0.0,0.342,0.342,0.342,0.0
BNCI2014_001,4,20260723,0.2,0.342,0.2917,0.3247,0.0503
BNCI2014_001,4,20260723,0.4,0.342,0.3212,0.2743,0.0208
BNCI2014_001,5,20260723,0.0,0.2691,0.2691,0.2691,0.0
BNCI2014_001,5,20260723,0.2,0.2691,0.2569,0.2569,0.0122
BNCI2014_001,5,20260723,0.4,0.2691,0.2465,0.2465,0.0226
BNCI2014_001,6,20260723,0.0,0.2899,0.2899,0.2899,0.0
BNCI2014_001,6,20260723,0.2,0.2899,0.2743,0.3038,0.0156
BNCI2014_001,6,20260723,0.4,0.2899,0.25,0.2951,0.0399
BNCI2014_001,7,20260723,0.0,0.2865,0.2865,0.2865,0.0
BNCI2014_001,7,20260723,0.2,0.2865,0.2778,0.2795,0.0087
BNCI2014_001,7,20260723,0.4,0.2865,0.2587,0.2882,0.0278
BNCI2014_001,8,20260723,0.0,0.5538,0.5538,0.5538,0.0
BNCI2014_001,8,20260723,0.2,0.5538,0.4635,0.4549,0.0903
BNCI2014_001,8,20260723,0.4,0.5538,0.4566,0.3681,0.0972
BNCI2014_001,9,20260723,0.0,0.4444,0.4444,0.4444,0.0
BNCI2014_001,9,20260723,0.2,0.4444,0.401,0.4253,0.0434
BNCI2014_001,9,20260723,0.4,0.4444,0.3941,0.2934,0.0503
BNCI2015_001,10,20260723,0.0,0.6017,0.6017,0.6017,0.0
BNCI2015_001,10,20260723,0.2,0.6017,0.6267,0.61,-0.025
BNCI2015_001,10,20260723,0.4,0.6017,0.575,0.5467,0.0267
BNCI2015_001,11,20260723,0.0,0.525,0.525,0.525,0.0
BNCI2015_001,11,20260723,0.2,0.525,0.5033,0.5467,0.0217
BNCI2015_001,11,20260723,0.4,0.525,0.4867,0.4983,0.0383
BNCI2015_001,12,20260723,0.0,0.5375,0.5375,0.5375,0.0
BNCI2015_001,12,20260723,0.2,0.5375,0.535,0.54,0.0025
BNCI2015_001,12,20260723,0.4,0.5375,0.485,0.5625,0.0525
BNCI2015_001,1,20260723,0.0,0.64,0.64,0.64,0.0
BNCI2015_001,1,20260723,0.2,0.64,0.765,0.7675,-0.125
BNCI2015_001,1,20260723,0.4,0.64,0.7125,0.69,-0.0725
BNCI2015_001,2,20260723,0.0,0.785,0.785,0.785,0.0
BNCI2015_001,2,20260723,0.2,0.785,0.72,0.7125,0.065
BNCI2015_001,2,20260723,0.4,0.785,0.6075,0.74,0.1775
BNCI2015_001,3,20260723,0.0,0.5175,0.5175,0.5175,0.0
BNCI2015_001,3,20260723,0.2,0.5175,0.52,0.5275,-0.0025
BNCI2015_001,3,20260723,0.4,0.5175,0.555,0.52,-0.0375
BNCI2015_001,4,20260723,0.0,0.7975,0.7975,0.7975,0.0
BNCI2015_001,4,20260723,0.2,0.7975,0.75,0.6225,0.0475
BNCI2015_001,4,20260723,0.4,0.7975,0.555,0.375,0.2425
BNCI2015_001,5,20260723,0.0,0.7425,0.7425,0.7425,0.0
BNCI2015_001,5,20260723,0.2,0.7425,0.755,0.7275,-0.0125
BNCI2015_001,5,20260723,0.4,0.7425,0.615,0.4875,0.1275
BNCI2015_001,6,20260723,0.0,0.635,0.635,0.635,0.0
BNCI2015_001,6,20260723,0.2,0.635,0.6225,0.625,0.0125
BNCI2015_001,6,20260723,0.4,0.635,0.525,0.495,0.11
BNCI2015_001,7,20260723,0.0,0.555,0.555,0.555,0.0
BNCI2015_001,7,20260723,0.2,0.555,0.56,0.565,-0.005
BNCI2015_001,7,20260723,0.4,0.555,0.4625,0.515,0.0925
BNCI2015_001,8,20260723,0.0,0.5533,0.5533,0.5533,0.0
BNCI2015_001,8,20260723,0.2,0.5533,0.545,0.5767,0.0083
BNCI2015_001,8,20260723,0.4,0.5533,0.4667,0.52,0.0867
BNCI2015_001,9,20260723,0.0,0.6333,0.6333,0.6333,0.0
BNCI2015_001,9,20260723,0.2,0.6333,0.6133,0.6333,0.02
BNCI2015_001,9,20260723,0.4,0.6333,0.525,0.5367,0.1083
BNCI2014_001,1,20260724,0.0,0.4792,0.4792,0.4792,0.0
BNCI2014_001,1,20260724,0.2,0.4792,0.4462,0.4635,0.033
BNCI2014_001,1,20260724,0.4,0.4792,0.3594,0.4184,0.1198
BNCI2014_001,2,20260724,0.0,0.2517,0.2517,0.2517,0.0
BNCI2014_001,2,20260724,0.2,0.2517,0.2639,0.2292,-0.0122
BNCI2014_001,2,20260724,0.4,0.2517,0.276,0.2431,-0.0243
BNCI2014_001,3,20260724,0.0,0.5573,0.5573,0.5573,0.0
BNCI2014_001,3,20260724,0.2,0.5573,0.4861,0.4618,0.0712
BNCI2014_001,3,20260724,0.4,0.5573,0.4306,0.3559,0.1267
BNCI2014_001,4,20260724,0.0,0.3472,0.3472,0.3472,0.0
BNCI2014_001,4,20260724,0.2,0.3472,0.3194,0.3542,0.0278
BNCI2014_001,4,20260724,0.4,0.3472,0.3021,0.3247,0.0451
BNCI2014_001,5,20260724,0.0,0.2726,0.2726,0.2726,0.0
BNCI2014_001,5,20260724,0.2,0.2726,0.2604,0.25,0.0122
BNCI2014_001,5,20260724,0.4,0.2726,0.25,0.2569,0.0226
BNCI2014_001,6,20260724,0.0,0.2934,0.2934,0.2934,0.0
BNCI2014_001,6,20260724,0.2,0.2934,0.2604,0.2899,0.033
BNCI2014_001,6,20260724,0.4,0.2934,0.2587,0.2743,0.0347
BNCI2014_001,7,20260724,0.0,0.2795,0.2795,0.2795,0.0
BNCI2014_001,7,20260724,0.2,0.2795,0.2847,0.2899,-0.0052
BNCI2014_001,7,20260724,0.4,0.2795,0.2951,0.2674,-0.0156
BNCI2014_001,8,20260724,0.0,0.5503,0.5503,0.5503,0.0
BNCI2014_001,8,20260724,0.2,0.5503,0.5104,0.4566,0.0399
BNCI2014_001,8,20260724,0.4,0.5503,0.4844,0.3976,0.066
BNCI2014_001,9,20260724,0.0,0.4479,0.4479,0.4479,0.0
BNCI2014_001,9,20260724,0.2,0.4479,0.4184,0.441,0.0295
BNCI2014_001,9,20260724,0.4,0.4479,0.3889,0.3906,0.059
BNCI2015_001,10,20260724,0.0,0.61,0.61,0.61,0.0
BNCI2015_001,10,20260724,0.2,0.61,0.6317,0.6017,-0.0217
BNCI2015_001,10,20260724,0.4,0.61,0.5917,0.4933,0.0183
BNCI2015_001,11,20260724,0.0,0.5233,0.5233,0.5233,0.0
BNCI2015_001,11,20260724,0.2,0.5233,0.5,0.5533,0.0233
BNCI2015_001,11,20260724,0.4,0.5233,0.47,0.5017,0.0533
BNCI2015_001,12,20260724,0.0,0.525,0.525,0.525,0.0
BNCI2015_001,12,20260724,0.2,0.525,0.52,0.5375,0.005
BNCI2015_001,12,20260724,0.4,0.525,0.51,0.57,0.015
BNCI2015_001,1,20260724,0.0,0.65,0.65,0.65,0.0
BNCI2015_001,1,20260724,0.2,0.65,0.755,0.6675,-0.105
BNCI2015_001,1,20260724,0.4,0.65,0.7275,0.6325,-0.0775
BNCI2015_001,2,20260724,0.0,0.785,0.785,0.785,0.0
BNCI2015_001,2,20260724,0.2,0.785,0.705,0.8675,0.08
BNCI2015_001,2,20260724,0.4,0.785,0.62,0.675,0.165
BNCI2015_001,3,20260724,0.0,0.515,0.515,0.515,0.0
BNCI2015_001,3,20260724,0.2,0.515,0.505,0.5075,0.01
BNCI2015_001,3,20260724,0.4,0.515,0.5475,0.56,-0.0325
BNCI2015_001,4,20260724,0.0,0.8,0.8,0.8,0.0
BNCI2015_001,4,20260724,0.2,0.8,0.715,0.7375,0.085
BNCI2015_001,4,20260724,0.4,0.8,0.59,0.58,0.21
BNCI2015_001,5,20260724,0.0,0.745,0.745,0.745,0.0
BNCI2015_001,5,20260724,0.2,0.745,0.7375,0.745,0.0075
BNCI2015_001,5,20260724,0.4,0.745,0.615,0.5575,0.13
BNCI2015_001,6,20260724,0.0,0.64,0.64,0.64,0.0
BNCI2015_001,6,20260724,0.2,0.64,0.63,0.635,0.01
BNCI2015_001,6,20260724,0.4,0.64,0.5625,0.6925,0.0775
BNCI2015_001,7,20260724,0.0,0.54,0.54,0.54,0.0
BNCI2015_001,7,20260724,0.2,0.54,0.53,0.57,0.01
BNCI2015_001,7,20260724,0.4,0.54,0.4575,0.49,0.0825
BNCI2015_001,8,20260724,0.0,0.5383,0.5383,0.5383,0.0
BNCI2015_001,8,20260724,0.2,0.5383,0.525,0.56,0.0133
BNCI2015_001,8,20260724,0.4,0.5383,0.4683,0.4867,0.07
BNCI2015_001,9,20260724,0.0,0.635,0.635,0.635,0.0
BNCI2015_001,9,20260724,0.2,0.635,0.6033,0.565,0.0317
BNCI2015_001,9,20260724,0.4,0.635,0.5667,0.5583,0.0683
BNCI2014_001,1,20260725,0.0,0.4826,0.4826,0.4826,0.0
BNCI2014_001,1,20260725,0.2,0.4826,0.4375,0.4722,0.0451
BNCI2014_001,1,20260725,0.4,0.4826,0.3455,0.4861,0.1372
BNCI2014_001,2,20260725,0.0,0.2517,0.2517,0.2517,0.0
BNCI2014_001,2,20260725,0.2,0.2517,0.2622,0.2344,-0.0104
BNCI2014_001,2,20260725,0.4,0.2517,0.2639,0.2622,-0.0122
BNCI2014_001,3,20260725,0.0,0.5642,0.5642,0.5642,0.0
BNCI2014_001,3,20260725,0.2,0.5642,0.5278,0.4861,0.0365
BNCI2014_001,3,20260725,0.4,0.5642,0.4219,0.3802,0.1424
BNCI2014_001,4,20260725,0.0,0.3472,0.3472,0.3472,0.0
BNCI2014_001,4,20260725,0.2,0.3472,0.3368,0.3177,0.0104
BNCI2014_001,4,20260725,0.4,0.3472,0.2622,0.3108,0.0851
BNCI2014_001,5,20260725,0.0,0.276,0.276,0.276,0.0
BNCI2014_001,5,20260725,0.2,0.276,0.2569,0.2726,0.0191
BNCI2014_001,5,20260725,0.4,0.276,0.2535,0.2535,0.0226
BNCI2014_001,6,20260725,0.0,0.3021,0.3021,0.3021,0.0
BNCI2014_001,6,20260725,0.2,0.3021,0.2812,0.2778,0.0208
BNCI2014_001,6,20260725,0.4,0.3021,0.2483,0.2656,0.0538
BNCI2014_001,7,20260725,0.0,0.2778,0.2778,0.2778,0.0
BNCI2014_001,7,20260725,0.2,0.2778,0.316,0.2812,-0.0382
BNCI2014_001,7,20260725,0.4,0.2778,0.2865,0.2639,-0.0087
BNCI2014_001,8,20260725,0.0,0.5451,0.5451,0.5451,0.0
BNCI2014_001,8,20260725,0.2,0.5451,0.4861,0.4948,0.059
BNCI2014_001,8,20260725,0.4,0.5451,0.4392,0.408,0.1059
BNCI2014_001,9,20260725,0.0,0.4375,0.4375,0.4375,0.0
BNCI2014_001,9,20260725,0.2,0.4375,0.4028,0.3906,0.0347
BNCI2014_001,9,20260725,0.4,0.4375,0.4323,0.3125,0.0052
BNCI2015_001,10,20260725,0.0,0.595,0.595,0.595,0.0
BNCI2015_001,10,20260725,0.2,0.595,0.6067,0.625,-0.0117
BNCI2015_001,10,20260725,0.4,0.595,0.61,0.5233,-0.015
BNCI2015_001,11,20260725,0.0,0.525,0.525,0.525,0.0
BNCI2015_001,11,20260725,0.2,0.525,0.5,0.5067,0.025
BNCI2015_001,11,20260725,0.4,0.525,0.49,0.5533,0.035
BNCI2015_001,12,20260725,0.0,0.54,0.54,0.54,0.0
BNCI2015_001,12,20260725,0.2,0.54,0.535,0.5175,0.005
BNCI2015_001,12,20260725,0.4,0.54,0.49,0.53,0.05
BNCI2015_001,1,20260725,0.0,0.64,0.64,0.64,0.0
BNCI2015_001,1,20260725,0.2,0.64,0.7625,0.6925,-0.1225
BNCI2015_001,1,20260725,0.4,0.64,0.725,0.5625,-0.085
BNCI2015_001,2,20260725,0.0,0.7925,0.7925,0.7925,0.0
BNCI2015_001,2,20260725,0.2,0.7925,0.7,0.7375,0.0925
BNCI2015_001,2,20260725,0.4,0.7925,0.68,0.555,0.1125
BNCI2015_001,3,20260725,0.0,0.5175,0.5175,0.5175,0.0
BNCI2015_001,3,20260725,0.2,0.5175,0.505,0.5075,0.0125
BNCI2015_001,3,20260725,0.4,0.5175,0.55,0.4975,-0.0325
BNCI2015_001,4,20260725,0.0,0.7975,0.7975,0.7975,0.0
BNCI2015_001,4,20260725,0.2,0.7975,0.69,0.75,0.1075
BNCI2015_001,4,20260725,0.4,0.7975,0.57,0.6275,0.2275
BNCI2015_001,5,20260725,0.0,0.75,0.75,0.75,0.0
BNCI2015_001,5,20260725,0.2,0.75,0.73,0.6575,0.02
BNCI2015_001,5,20260725,0.4,0.75,0.5675,0.5775,0.1825
BNCI2015_001,6,20260725,0.0,0.6425,0.6425,0.6425,0.0
BNCI2015_001,6,20260725,0.2,0.6425,0.6275,0.6375,0.015
BNCI2015_001,6,20260725,0.4,0.6425,0.585,0.61,0.0575
BNCI2015_001,7,20260725,0.0,0.5425,0.5425,0.5425,0.0
BNCI2015_001,7,20260725,0.2,0.5425,0.555,0.52,-0.0125
BNCI2015_001,7,20260725,0.4,0.5425,0.4925,0.5175,0.05
BNCI2015_001,8,20260725,0.0,0.5417,0.5417,0.5417,0.0
BNCI2015_001,8,20260725,0.2,0.5417,0.5233,0.535,0.0183
BNCI2015_001,8,20260725,0.4,0.5417,0.475,0.54,0.0667
BNCI2015_001,9,20260725,0.0,0.6333,0.6333,0.6333,0.0
BNCI2015_001,9,20260725,0.2,0.6333,0.6167,0.675,0.0167
BNCI2015_001,9,20260725,0.4,0.6333,0.5583,0.555,0.075
BNCI2014_001,1,20260726,0.0,0.4809,0.4809,0.4809,0.0
BNCI2014_001,1,20260726,0.2,0.4809,0.4479,0.4236,0.033
BNCI2014_001,1,20260726,0.4,0.4809,0.3264,0.4948,0.1545
BNCI2014_001,2,20260726,0.0,0.2604,0.2604,0.2604,0.0
BNCI2014_001,2,20260726,0.2,0.2604,0.2639,0.2413,-0.0035
BNCI2014_001,2,20260726,0.4,0.2604,0.2795,0.2378,-0.0191
BNCI2014_001,3,20260726,0.0,0.5747,0.5747,0.5747,0.0
BNCI2014_001,3,20260726,0.2,0.5747,0.4583,0.4115,0.1163
BNCI2014_001,3,20260726,0.4,0.5747,0.4253,0.3958,0.1493
BNCI2014_001,4,20260726,0.0,0.3455,0.3455,0.3455,0.0
BNCI2014_001,4,20260726,0.2,0.3455,0.3438,0.349,0.0017
BNCI2014_001,4,20260726,0.4,0.3455,0.2743,0.2986,0.0712
BNCI2014_001,5,20260726,0.0,0.276,0.276,0.276,0.0
BNCI2014_001,5,20260726,0.2,0.276,0.2708,0.2622,0.0052
BNCI2014_001,5,20260726,0.4,0.276,0.2431,0.2465,0.033
BNCI2014_001,6,20260726,0.0,0.2986,0.2986,0.2986,0.0
BNCI2014_001,6,20260726,0.2,0.2986,0.2778,0.2639,0.0208
BNCI2014_001,6,20260726,0.4,0.2986,0.2934,0.3264,0.0052
BNCI2014_001,7,20260726,0.0,0.2726,0.2726,0.2726,0.0
BNCI2014_001,7,20260726,0.2,0.2726,0.2951,0.2726,-0.0226
BNCI2014_001,7,20260726,0.4,0.2726,0.3056,0.2743,-0.033
BNCI2014_001,8,20260726,0.0,0.5469,0.5469,0.5469,0.0
BNCI2014_001,8,20260726,0.2,0.5469,0.4983,0.5312,0.0486
BNCI2014_001,8,20260726,0.4,0.5469,0.4306,0.3906,0.1163
BNCI2014_001,9,20260726,0.0,0.4479,0.4479,0.4479,0.0
BNCI2014_001,9,20260726,0.2,0.4479,0.4601,0.4028,-0.0122
BNCI2014_001,9,20260726,0.4,0.4479,0.441,0.2917,0.0069
BNCI2015_001,10,20260726,0.0,0.5983,0.5983,0.5983,0.0
BNCI2015_001,10,20260726,0.2,0.5983,0.6283,0.585,-0.03
BNCI2015_001,10,20260726,0.4,0.5983,0.58,0.4933,0.0183
BNCI2015_001,11,20260726,0.0,0.52,0.52,0.52,0.0
BNCI2015_001,11,20260726,0.2,0.52,0.4967,0.5267,0.0233
BNCI2015_001,11,20260726,0.4,0.52,0.4783,0.56,0.0417
BNCI2015_001,12,20260726,0.0,0.5325,0.5325,0.5325,0.0
BNCI2015_001,12,20260726,0.2,0.5325,0.5175,0.53,0.015
BNCI2015_001,12,20260726,0.4,0.5325,0.5275,0.505,0.005
BNCI2015_001,1,20260726,0.0,0.6525,0.6525,0.6525,0.0
BNCI2015_001,1,20260726,0.2,0.6525,0.7225,0.5775,-0.07
BNCI2015_001,1,20260726,0.4,0.6525,0.71,0.5425,-0.0575
BNCI2015_001,2,20260726,0.0,0.79,0.79,0.79,0.0
BNCI2015_001,2,20260726,0.2,0.79,0.7225,0.8025,0.0675
BNCI2015_001,2,20260726,0.4,0.79,0.595,0.32,0.195
BNCI2015_001,3,20260726,0.0,0.515,0.515,0.515,0.0
BNCI2015_001,3,20260726,0.2,0.515,0.51,0.5175,0.005
BNCI2015_001,3,20260726,0.4,0.515,0.56,0.5375,-0.045
BNCI2015_001,4,20260726,0.0,0.7925,0.7925,0.7925,0.0
BNCI2015_001,4,20260726,0.2,0.7925,0.74,0.7475,0.0525
BNCI2015_001,4,20260726,0.4,0.7925,0.5475,0.5575,0.245
BNCI2015_001,5,20260726,0.0,0.75,0.75,0.75,0.0
BNCI2015_001,5,20260726,0.2,0.75,0.705,0.6825,0.045
BNCI2015_001,5,20260726,0.4,0.75,0.6,0.5125,0.15
BNCI2015_001,6,20260726,0.0,0.64,0.64,0.64,0.0
BNCI2015_001,6,20260726,0.2,0.64,0.625,0.6475,0.015
