dataset,target_subject,token_seed,gamma,global_Py_delta,achieved_conflict_frac,conflict_fit,conflict_fit_floor,conflict_fit_minus_floor,l5_conflict_train,l5_random_train,l5_shuffle_train_mean,l5_shuffle_train_max,heldin_task_drop_train
BNCI2015_001,11,20260721,0.2,0,0.1556,0.3518,0.1857,0.1661,0.0514,0.0236,0.0332,0.055,0.0547
BNCI2015_001,11,20260721,0.4,0,0.3111,0.5946,0.2062,0.3884,0.0481,0.0117,0.0208,0.0525,0.1536
BNCI2015_001,12,20260721,0.0,0,0.0,nan,nan,nan,0.0135,0.0135,0.0135,0.0135,0.0
BNCI2015_001,12,20260721,0.2,0,0.16,0.4047,0.2297,0.175,0.045,0.016,0.0222,0.0383,0.0522
BNCI2015_001,12,20260721,0.4,0,0.32,0.743,0.2102,0.5328,0.0117,0.014,0.0469,0.1043,0.1903
BNCI2015_001,1,20260721,0.0,0,0.0,nan,nan,nan,0.0574,0.0574,0.0574,0.0574,0.0
BNCI2015_001,1,20260721,0.2,0,0.1895,0.7361,0.4208,0.3153,0.0168,0.0408,0.0301,0.1013,0.0603
BNCI2015_001,1,20260721,0.4,0,0.3789,0.8132,0.4417,0.3715,0.0047,0.0266,-0.0122,0.0584,0.0992
BNCI2015_001,2,20260721,0.0,0,0.0,nan,nan,nan,0.1622,0.1622,0.1622,0.1622,0.0
BNCI2015_001,2,20260721,0.2,0,0.1333,0.4542,0.3458,0.1083,0.1494,0.155,0.1004,0.155,0.0222
BNCI2015_001,2,20260721,0.4,0,0.2667,0.6083,0.3896,0.2187,0.1294,0.1128,0.0451,0.105,0.0489
BNCI2015_001,3,20260721,0.0,0,0.0,nan,nan,nan,0.0124,0.0124,0.0124,0.0124,0.0
BNCI2015_001,3,20260721,0.2,0,0.1474,0.4964,0.2518,0.2446,0.0745,0.0139,0.0137,0.0324,0.0387
BNCI2015_001,3,20260721,0.4,0,0.2947,0.7446,0.2241,0.5205,-0.0021,0.0037,0.0076,0.0582,0.1811
BNCI2015_001,4,20260721,0.0,0,0.0,nan,nan,nan,0.0222,0.0222,0.0222,0.0222,0.0
BNCI2015_001,4,20260721,0.2,0,0.1333,0.4167,0.2479,0.1688,0.0272,0.0231,0.0502,0.0767,0.0144
BNCI2015_001,4,20260721,0.4,0,0.2667,0.5885,0.349,0.2396,0.1011,0.0206,0.0418,0.1531,0.0547
BNCI2015_001,5,20260721,0.0,0,0.0,nan,nan,nan,0.0305,0.0305,0.0305,0.0305,0.0
BNCI2015_001,5,20260721,0.2,0,0.1895,0.5222,0.2097,0.3125,0.0055,0.0134,0.0165,0.0611,0.0732
BNCI2015_001,5,20260721,0.4,0,0.3789,0.7958,0.2049,0.591,-0.0232,0.0121,0.0019,0.0334,0.205
BNCI2015_001,6,20260721,0.0,0,0.0,nan,nan,nan,-0.002,-0.002,-0.002,-0.002,0.0
BNCI2015_001,6,20260721,0.2,0,0.2,0.5175,0.2125,0.305,0.0117,0.0045,0.0002,0.0095,0.0763
BNCI2015_001,6,20260721,0.4,0,0.4,0.8325,0.2069,0.6256,0.0158,0.0025,-0.0048,0.0118,0.2348
BNCI2015_001,7,20260721,0.0,0,0.0,nan,nan,nan,0.0208,0.0208,0.0208,0.0208,0.0
BNCI2015_001,7,20260721,0.2,0,0.1895,0.5181,0.2625,0.2556,-0.0003,0.0263,0.014,0.0311,0.0426
BNCI2015_001,7,20260721,0.4,0,0.3789,0.7528,0.2625,0.4903,-0.0476,0.0258,-0.0322,-0.0003,0.1645
BNCI2015_001,8,20260721,0.0,0,0.0,nan,nan,nan,0.0279,0.0279,0.0279,0.0279,0.0
BNCI2015_001,8,20260721,0.2,0,0.1882,0.5016,0.2578,0.2438,0.1359,0.0291,0.0252,0.0541,0.0465
BNCI2015_001,8,20260721,0.4,0,0.3765,0.7742,0.2469,0.5273,0.0576,0.035,-0.0211,0.0426,0.1847
BNCI2015_001,9,20260721,0.0,0,0.0,nan,nan,nan,0.0211,0.0211,0.0211,0.0211,0.0
BNCI2015_001,9,20260721,0.2,0,0.2,0.4694,0.1931,0.2764,0.0886,0.015,0.0419,0.0797,0.0653
BNCI2015_001,9,20260721,0.4,0,0.4,0.8167,0.1944,0.6222,0.0514,0.0203,0.0019,0.0506,0.2294
BNCI2014_001,1,20260722,0.0,0,0.0,nan,nan,nan,0.0098,0.0098,0.0098,0.0098,0.0
BNCI2014_001,1,20260722,0.2,0,0.1997,0.4319,0.0377,0.3942,-0.0116,0.0052,0.0195,0.0697,0.1464
BNCI2014_001,1,20260722,0.4,0,0.3657,0.5839,0.0538,0.5301,-0.0425,0.0075,-0.0119,0.0544,0.2896
BNCI2014_001,2,20260722,0.0,0,0.0,nan,nan,nan,0.0055,0.0055,0.0055,0.0055,0.0
BNCI2014_001,2,20260722,0.2,0,0.1331,0.487,0.1043,0.3826,-0.0142,0.0049,-0.0062,0.0012,0.0639
BNCI2014_001,2,20260722,0.4,0,0.3657,0.6638,0.1155,0.5483,-0.0226,0.0055,0.0132,0.0312,0.213
BNCI2014_001,3,20260722,0.0,0,0.0,nan,nan,nan,0.0052,0.0052,0.0052,0.0052,0.0
BNCI2014_001,3,20260722,0.2,0,0.1997,0.5768,0.2348,0.342,-0.0101,0.0017,-0.0059,0.0174,0.0596
BNCI2014_001,3,20260722,0.4,0,0.316,0.7647,0.217,0.5476,-0.0463,-0.0003,-0.002,0.046,0.1345
BNCI2014_001,4,20260722,0.0,0,0.0,nan,nan,nan,0.0084,0.0084,0.0084,0.0084,0.0
BNCI2014_001,4,20260722,0.2,0,0.1997,0.4841,0.0783,0.4058,-0.037,0.015,-0.0171,-0.0035,0.1354
BNCI2014_001,4,20260722,0.4,0,0.3495,0.6531,0.0745,0.5786,-0.0362,0.015,-0.022,-0.0139,0.2352
BNCI2014_001,5,20260722,0.0,0,0.0,nan,nan,nan,-0.002,-0.002,-0.002,-0.002,0.0
BNCI2014_001,5,20260722,0.2,0,0.1997,0.5043,0.1667,0.3377,-0.0003,0.0026,0.0068,0.0185,0.0744
BNCI2014_001,5,20260722,0.4,0,0.3657,0.6638,0.1962,0.4676,-0.0191,0.0014,-0.0178,0.0035,0.1499
BNCI2014_001,6,20260722,0.0,0,0.0,nan,nan,nan,0.0223,0.0223,0.0223,0.0223,0.0
BNCI2014_001,6,20260722,0.2,0,0.1997,0.4855,0.142,0.3435,0.0046,0.0084,0.0094,0.0411,0.0932
BNCI2014_001,6,20260722,0.4,0,0.3495,0.6018,0.1416,0.4603,-0.011,0.0208,-0.0289,0.0336,0.1797
BNCI2014_001,7,20260722,0.0,0,0.0,nan,nan,nan,0.0049,0.0049,0.0049,0.0049,0.0
BNCI2014_001,7,20260722,0.2,0,0.1997,0.5464,0.0957,0.4507,-0.0043,0.0003,-0.0115,0.0067,0.1114
BNCI2014_001,7,20260722,0.4,0,0.2998,0.6959,0.0792,0.6168,-0.0093,0.0035,-0.0147,0.0208,0.1991
BNCI2014_001,8,20260722,0.0,0,0.0,nan,nan,nan,0.0072,0.0072,0.0072,0.0072,0.0
BNCI2014_001,8,20260722,0.2,0,0.1997,0.5116,0.1377,0.3739,-0.0081,0.0029,-0.0009,0.0093,0.0972
BNCI2014_001,8,20260722,0.4,0,0.3993,0.7652,0.1239,0.6413,-0.0286,-0.0009,-0.0215,0.0211,0.2034
BNCI2014_001,9,20260722,0.0,0,0.0,nan,nan,nan,-0.0017,-0.0017,-0.0017,-0.0017,0.0
BNCI2014_001,9,20260722,0.2,0,0.1997,0.5,0.1797,0.3203,0.0009,-0.0038,0.0063,0.0275,0.0515
BNCI2014_001,9,20260722,0.4,0,0.3495,0.7003,0.1291,0.5712,-0.0258,0.0069,-0.0096,0.0072,0.1774
BNCI2015_001,10,20260722,0.0,0,0.0,nan,nan,nan,0.0964,0.0964,0.0964,0.0964,0.0
BNCI2015_001,10,20260722,0.2,0,0.1333,0.4083,0.2812,0.1271,0.0714,0.0767,0.0491,0.0864,0.0103
BNCI2015_001,10,20260722,0.4,0,0.2667,0.6865,0.3104,0.376,0.0811,0.0467,-0.0169,0.0783,0.0981
BNCI2015_001,11,20260722,0.0,0,0.0,nan,nan,nan,0.0631,0.0631,0.0631,0.0631,0.0
BNCI2015_001,11,20260722,0.2,0,0.2,0.3222,0.1819,0.1403,0.0811,0.0508,0.0402,0.0761,0.0533
BNCI2015_001,11,20260722,0.4,0,0.4,0.6299,0.1972,0.4326,0.0519,0.0036,-0.0213,0.0181,0.2325
BNCI2015_001,12,20260722,0.0,0,0.0,nan,nan,nan,0.0139,0.0139,0.0139,0.0139,0.0
BNCI2015_001,12,20260722,0.2,0,0.1053,0.3775,0.2325,0.145,0.0334,0.0192,0.0268,0.0479,0.0182
BNCI2015_001,12,20260722,0.4,0,0.2105,0.505,0.1412,0.3638,-0.0045,0.0129,0.0477,0.1547,0.0987
BNCI2015_001,1,20260722,0.0,0,0.0,nan,nan,nan,0.0432,0.0432,0.0432,0.0432,0.0
BNCI2015_001,1,20260722,0.2,0,0.1895,0.7431,0.4111,0.3319,0.0134,0.0432,0.0564,0.1063,0.0655
BNCI2015_001,1,20260722,0.4,0,0.3789,0.8465,0.3917,0.4549,0.0055,0.0095,-0.0086,0.0818,0.1134
BNCI2015_001,2,20260722,0.0,0,0.0,nan,nan,nan,0.1508,0.1508,0.1508,0.1508,0.0
BNCI2015_001,2,20260722,0.2,0,0.1895,0.4889,0.3708,0.1181,0.1421,0.1429,0.0739,0.1224,0.0268
BNCI2015_001,2,20260722,0.4,0,0.3789,0.6715,0.3507,0.3208,0.1384,0.0853,-0.0113,0.0729,0.0911
BNCI2015_001,3,20260722,0.0,0,0.0,nan,nan,nan,0.0524,0.0524,0.0524,0.0524,0.0
BNCI2015_001,3,20260722,0.2,0,0.1474,0.4518,0.2536,0.1982,0.0224,0.0329,0.0371,0.0663,0.0492
BNCI2015_001,3,20260722,0.4,0,0.2947,0.6768,0.2188,0.458,0.0474,0.0195,-0.0044,0.0445,0.1582
BNCI2015_001,4,20260722,0.0,0,0.0,nan,nan,nan,0.0421,0.0421,0.0421,0.0421,0.0
BNCI2015_001,4,20260722,0.2,0,0.1684,0.4234,0.2641,0.1594,0.0287,0.0287,0.0436,0.1261,0.0245
BNCI2015_001,4,20260722,0.4,0,0.3368,0.7148,0.2602,0.4547,0.0237,0.0353,0.0091,0.0997,0.1313
BNCI2015_001,5,20260722,0.0,0,0.0,nan,nan,nan,0.0253,0.0253,0.0253,0.0253,0.0
BNCI2015_001,5,20260722,0.2,0,0.2,0.4847,0.2639,0.2208,0.0264,0.0283,0.0398,0.0611,0.0503
BNCI2015_001,5,20260722,0.4,0,0.4,0.7104,0.2674,0.4431,0.0372,0.0167,-0.0309,0.0347,0.16
BNCI2015_001,6,20260722,0.0,0,0.0,nan,nan,nan,0.0115,0.0115,0.0115,0.0115,0.0
BNCI2015_001,6,20260722,0.2,0,0.2,0.4913,0.2188,0.2725,0.0317,0.019,0.0036,0.0297,0.0687
BNCI2015_001,6,20260722,0.4,0,0.4,0.825,0.2075,0.6175,0.045,0.0003,-0.0256,0.0403,0.233
BNCI2015_001,7,20260722,0.0,0,0.0,nan,nan,nan,0.03,0.03,0.03,0.03,0.0
BNCI2015_001,7,20260722,0.2,0,0.1895,0.4597,0.2181,0.2417,0.0266,0.0347,0.038,0.075,0.0503
BNCI2015_001,7,20260722,0.4,0,0.3789,0.7521,0.2528,0.4993,0.0174,0.0429,0.0163,0.0576,0.1687
BNCI2015_001,8,20260722,0.0,0,0.0,nan,nan,nan,0.0742,0.0742,0.0742,0.0742,0.0
BNCI2015_001,8,20260722,0.2,0,0.1474,0.4214,0.2554,0.1661,0.0132,0.0961,0.0971,0.1589,0.0111
BNCI2015_001,8,20260722,0.4,0,0.2947,0.7107,0.2384,0.4723,-0.0311,0.0821,0.0236,0.0845,0.1205
BNCI2015_001,9,20260722,0.0,0,0.0,nan,nan,nan,0.0074,0.0074,0.0074,0.0074,0.0
BNCI2015_001,9,20260722,0.2,0,0.1474,0.4875,0.2286,0.2589,0.0245,0.0063,0.0075,0.0289,0.0403
BNCI2015_001,9,20260722,0.4,0,0.2947,0.7455,0.2321,0.5134,0.0416,0.0032,-0.0005,0.0382,0.1382
BNCI2014_001,1,20260723,0.0,0,0.0,nan,nan,nan,0.0145,0.0145,0.0145,0.0145,0.0
BNCI2014_001,1,20260723,0.2,0,0.1331,0.6435,0.0522,0.5913,-0.0095,0.0136,-0.0014,0.0437,0.101
BNCI2014_001,1,20260723,0.4,0,0.3657,0.7579,0.0752,0.6828,-0.0009,0.009,-0.0115,0.0362,0.2703
BNCI2014_001,2,20260723,0.0,0,0.0,nan,nan,nan,0.0124,0.0124,0.0124,0.0124,0.0
BNCI2014_001,2,20260723,0.2,0,0.1331,0.4043,0.1152,0.2891,0.0124,0.0093,0.0232,0.0341,0.059
BNCI2014_001,2,20260723,0.4,0,0.3495,0.5364,0.1109,0.4255,0.0246,-0.002,0.006,0.0561,0.2092
BNCI2014_001,3,20260723,0.0,0,0.0,nan,nan,nan,-0.0012,-0.0012,-0.0012,-0.0012,0.0
BNCI2014_001,3,20260723,0.2,0,0.1997,0.671,0.2391,0.4319,0.0124,0.0041,0.0068,0.0148,0.0645
BNCI2014_001,3,20260723,0.4,0,0.3657,0.7358,0.2168,0.519,0.0246,0.0069,0.0207,0.053,0.0984
BNCI2014_001,4,20260723,0.0,0,0.0,nan,nan,nan,0.0049,0.0049,0.0049,0.0049,0.0
BNCI2014_001,4,20260723,0.2,0,0.1997,0.4043,0.0522,0.3522,-0.0336,0.0043,0.0004,0.0477,0.116
BNCI2014_001,4,20260723,0.4,0,0.3993,0.6891,0.0833,0.6058,-0.0813,0.0012,-0.017,0.0052,0.2653
BNCI2014_001,5,20260723,0.0,0,0.0,nan,nan,nan,0.0038,0.0038,0.0038,0.0038,0.0
BNCI2014_001,5,20260723,0.2,0,0.1997,0.4594,0.1551,0.3043,0.0078,0.0003,0.0108,0.0243,0.0608
BNCI2014_001,5,20260723,0.4,0,0.3495,0.6291,0.1349,0.4942,-0.0281,0.0095,0.0055,0.0544,0.1632
BNCI2014_001,6,20260723,0.0,0,0.0,nan,nan,nan,0.0104,0.0104,0.0104,0.0104,0.0
BNCI2014_001,6,20260723,0.2,0,0.1997,0.4725,0.1203,0.3522,0.0014,0.0032,0.0072,0.0226,0.0796
BNCI2014_001,6,20260723,0.4,0,0.3495,0.6631,0.1291,0.5339,0.0402,0.0043,-0.0369,0.0122,0.1756
BNCI2014_001,7,20260723,0.0,0,0.0,nan,nan,nan,0.0035,0.0035,0.0035,0.0035,0.0
BNCI2014_001,7,20260723,0.2,0,0.1997,0.4928,0.0942,0.3986,-0.0177,-0.0023,-0.0106,-0.0003,0.1108
BNCI2014_001,7,20260723,0.4,0,0.3495,0.6954,0.0894,0.606,-0.0304,-0.0061,-0.0191,0.0104,0.2393
BNCI2014_001,8,20260723,0.0,0,0.0,nan,nan,nan,0.0055,0.0055,0.0055,0.0055,0.0
BNCI2014_001,8,20260723,0.2,0,0.1997,0.4652,0.1029,0.3623,0.0006,0.0023,-0.0078,0.0061,0.0969
BNCI2014_001,8,20260723,0.4,0,0.3657,0.7706,0.1266,0.644,0.0009,0.0081,-0.0102,0.0411,0.1904
BNCI2014_001,9,20260723,0.0,0,0.0,nan,nan,nan,0.0049,0.0049,0.0049,0.0049,0.0
BNCI2014_001,9,20260723,0.2,0,0.1997,0.487,0.1449,0.342,0.0205,0.0081,-0.013,0.0075,0.0868
BNCI2014_001,9,20260723,0.4,0,0.3993,0.729,0.1145,0.6145,-0.0301,-0.0009,-0.0166,0.0289,0.2182
BNCI2015_001,10,20260723,0.0,0,0.0,nan,nan,nan,0.1839,0.1839,0.1839,0.1839,0.0
BNCI2015_001,10,20260723,0.2,0,0.1895,0.6194,0.2722,0.3472,0.0113,0.1508,0.0709,0.1563,0.0666
BNCI2015_001,10,20260723,0.4,0,0.3789,0.8264,0.3104,0.516,-0.0079,0.1247,0.0111,0.0832,0.1713
BNCI2015_001,11,20260723,0.0,0,0.0,nan,nan,nan,0.0597,0.0597,0.0597,0.0597,0.0
BNCI2015_001,11,20260723,0.2,0,0.2,0.3292,0.2042,0.125,0.0767,0.0506,0.0863,0.1508,0.0503
BNCI2015_001,11,20260723,0.4,0,0.4,0.609,0.1993,0.4097,0.0572,0.0056,0.0031,0.0517,0.2264
BNCI2015_001,12,20260723,0.0,0,0.0,nan,nan,nan,0.0215,0.0215,0.0215,0.0215,0.0
BNCI2015_001,12,20260723,0.2,0,0.1882,0.3234,0.1844,0.1391,0.0506,0.0144,0.0239,0.075,0.0485
BNCI2015_001,12,20260723,0.4,0,0.3765,0.6398,0.1984,0.4414,0.1226,0.0215,-0.0317,0.1512,0.2003
BNCI2015_001,1,20260723,0.0,0,0.0,nan,nan,nan,0.0887,0.0887,0.0887,0.0887,0.0
BNCI2015_001,1,20260723,0.2,0,0.1474,0.6036,0.4089,0.1946,0.0679,0.0868,0.0449,0.0792,0.0303
BNCI2015_001,1,20260723,0.4,0,0.2947,0.742,0.4152,0.3268,0.0642,0.0832,0.021,0.0955,0.0811
BNCI2015_001,2,20260723,0.0,0,0.0,nan,nan,nan,0.1047,0.1047,0.1047,0.1047,0.0
BNCI2015_001,2,20260723,0.2,0,0.1895,0.5403,0.3625,0.1778,0.0224,0.0861,0.0657,0.1087,0.0424
BNCI2015_001,2,20260723,0.4,0,0.3789,0.6792,0.3583,0.3208,0.0195,0.0089,0.0269,0.0337,0.1108
BNCI2015_001,3,20260723,0.0,0,0.0,nan,nan,nan,0.0429,0.0429,0.0429,0.0429,0.0
BNCI2015_001,3,20260723,0.2,0,0.1474,0.4071,0.25,0.1571,0.0571,0.0334,0.0191,0.0268,0.0271
BNCI2015_001,3,20260723,0.4,0,0.2947,0.6464,0.2509,0.3955,0.0234,0.0274,-0.0049,0.0245,0.1263
BNCI2015_001,4,20260723,0.0,0,0.0,nan,nan,nan,0.0261,0.0261,0.0261,0.0261,0.0
BNCI2015_001,4,20260723,0.2,0,0.1556,0.3607,0.2411,0.1196,0.03,0.0278,0.0622,0.1314,0.0092
BNCI2015_001,4,20260723,0.4,0,0.3111,0.6241,0.2089,0.4152,-0.0667,0.0169,0.0833,0.2303,0.1303
BNCI2015_001,5,20260723,0.0,0,0.0,nan,nan,nan,0.0279,0.0279,0.0279,0.0279,0.0
BNCI2015_001,5,20260723,0.2,0,0.1882,0.3937,0.2328,0.1609,0.0253,0.0235,0.0358,0.055,0.0271
BNCI2015_001,5,20260723,0.4,0,0.3765,0.7086,0.2633,0.4453,0.0382,0.0179,0.1023,0.155,0.1541
BNCI2015_001,6,20260723,0.0,0,0.0,nan,nan,nan,0.0058,0.0058,0.0058,0.0058,0.0
BNCI2015_001,6,20260723,0.2,0,0.1474,0.4268,0.1964,0.2304,0.0089,0.0024,-0.0001,0.0171,0.0487
BNCI2015_001,6,20260723,0.4,0,0.2947,0.7929,0.1607,0.6321,0.0087,0.0,0.0053,0.0182,0.2118
BNCI2015_001,7,20260723,0.0,0,0.0,nan,nan,nan,0.0234,0.0234,0.0234,0.0234,0.0
BNCI2015_001,7,20260723,0.2,0,0.1474,0.4839,0.2143,0.2696,0.0434,0.0076,0.0353,0.0545,0.0503
BNCI2015_001,7,20260723,0.4,0,0.2947,0.7438,0.2687,0.475,-0.0363,0.01,0.0072,0.0505,0.1345
BNCI2015_001,8,20260723,0.0,0,0.0,nan,nan,nan,0.1308,0.1308,0.1308,0.1308,0.0
BNCI2015_001,8,20260723,0.2,0,0.1333,0.4208,0.1958,0.225,0.0217,0.0658,0.0428,0.0983,0.0308
BNCI2015_001,8,20260723,0.4,0,0.2667,0.699,0.2219,0.4771,-0.0242,0.0539,0.0727,0.1483,0.1228
BNCI2015_001,9,20260723,0.0,0,0.0,nan,nan,nan,0.0069,0.0069,0.0069,0.0069,0.0
BNCI2015_001,9,20260723,0.2,0,0.1333,0.4292,0.2042,0.225,0.0078,0.0081,0.0124,0.0444,0.0278
BNCI2015_001,9,20260723,0.4,0,0.2667,0.674,0.2062,0.4677,0.0281,0.0033,-0.0109,0.0158,0.1175
BNCI2014_001,1,20260724,0.0,0,0.0,nan,nan,nan,0.0072,0.0072,0.0072,0.0072,0.0
BNCI2014_001,1,20260724,0.2,0,0.1997,0.4913,0.0855,0.4058,-0.0197,0.0107,-0.022,-0.0075,0.1386
BNCI2014_001,1,20260724,0.4,0,0.3495,0.6217,0.0704,0.5513,-0.0469,-0.0041,-0.0055,0.1244,0.2587
BNCI2014_001,2,20260724,0.0,0,0.0,nan,nan,nan,0.0069,0.0069,0.0069,0.0069,0.0
BNCI2014_001,2,20260724,0.2,0,0.1997,0.4652,0.1029,0.3623,-0.0168,0.009,0.0142,0.0385,0.0984
BNCI2014_001,2,20260724,0.4,0,0.3657,0.5902,0.1179,0.4723,-0.0457,0.0087,-0.0038,0.0231,0.2167
BNCI2014_001,3,20260724,0.0,0,0.0,nan,nan,nan,-0.0014,-0.0014,-0.0014,-0.0014,0.0
BNCI2014_001,3,20260724,0.2,0,0.1997,0.6319,0.1957,0.4362,-0.0298,0.0078,-0.0019,0.0165,0.0952
BNCI2014_001,3,20260724,0.4,0,0.3657,0.7017,0.2191,0.4826,-0.037,0.0064,-0.0144,0.011,0.1262
BNCI2014_001,4,20260724,0.0,0,0.0,nan,nan,nan,0.0081,0.0081,0.0081,0.0081,0.0
BNCI2014_001,4,20260724,0.2,0,0.1331,0.4065,0.0435,0.363,-0.0391,0.0104,-0.0124,0.0194,0.0825
BNCI2014_001,4,20260724,0.4,0,0.3495,0.6341,0.0795,0.5546,-0.0422,0.0032,-0.0182,0.0041,0.2214
BNCI2014_001,5,20260724,0.0,0,0.0,nan,nan,nan,-0.0035,-0.0035,-0.0035,-0.0035,0.0
BNCI2014_001,5,20260724,0.2,0,0.1997,0.5899,0.2507,0.3391,0.0237,0.0043,0.004,0.0191,0.0663
BNCI2014_001,5,20260724,0.4,0,0.3993,0.7188,0.1942,0.5246,-0.0359,0.0023,-0.0255,-0.0049,0.1568
BNCI2014_001,6,20260724,0.0,0,0.0,nan,nan,nan,0.022,0.022,0.022,0.022,0.0
BNCI2014_001,6,20260724,0.2,0,0.1997,0.4029,0.1377,0.2652,0.015,0.0208,0.0251,0.0451,0.0897
BNCI2014_001,6,20260724,0.4,0,0.3993,0.6486,0.1297,0.5188,0.0284,0.0035,0.0092,0.0324,0.2124
BNCI2014_001,7,20260724,0.0,0,0.0,nan,nan,nan,0.0012,0.0012,0.0012,0.0012,0.0
BNCI2014_001,7,20260724,0.2,0,0.1997,0.5667,0.1507,0.4159,-0.0058,0.0006,-0.0005,0.0127,0.0966
BNCI2014_001,7,20260724,0.4,0,0.3993,0.7725,0.1304,0.642,-0.0396,-0.0029,-0.0159,0.0107,0.2384
BNCI2014_001,8,20260724,0.0,0,0.0,nan,nan,nan,0.0078,0.0078,0.0078,0.0078,0.0
BNCI2014_001,8,20260724,0.2,0,0.1331,0.4957,0.1065,0.3891,0.0098,0.0078,-0.0035,0.0182,0.0645
BNCI2014_001,8,20260724,0.4,0,0.316,0.6978,0.1566,0.5412,0.0197,0.0142,-0.0205,0.0148,0.138
BNCI2014_001,9,20260724,0.0,0,0.0,nan,nan,nan,0.0095,0.0095,0.0095,0.0095,0.0
BNCI2014_001,9,20260724,0.2,0,0.1997,0.4797,0.1768,0.3029,0.0281,0.0055,0.0126,0.0205,0.0738
BNCI2014_001,9,20260724,0.4,0,0.3495,0.673,0.1523,0.5207,0.0087,0.0032,-0.0156,0.0087,0.1571
