dataset,target_subject,token_seed,gamma,pt_task_drop_vs_H0,pt_task_drop_vs_shuffle,pt_task_drop_vs_random,pt_l5_conflict,pt_l5_conflict_minus_shuffle,pt_l5_conflict_minus_random,pt_l4_conflict_minus_shuffle,pt_l5_shuffle_max
BNCI2014_001,8,20260721,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0035
BNCI2014_001,8,20260721,0.2,0.0885,0.0344,0.0764,0.0278,0.0132,0.0165,0.0039,0.1415
BNCI2014_001,8,20260721,0.4,0.1762,0.0344,0.1632,-0.0686,-0.0819,-0.0712,-0.0259,0.138
BNCI2014_001,9,20260721,0.0,0.0,0.0,0.0,0.0425,0.0,0.0,0.0,0.0425
BNCI2014_001,9,20260721,0.2,0.1007,0.0276,0.1094,-0.046,-0.08,-0.0729,-0.026,0.0747
BNCI2014_001,9,20260721,0.4,0.2587,0.0715,0.1528,-0.0243,-0.0755,-0.0564,-0.0305,0.0894
BNCI2015_001,10,20260721,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02
BNCI2015_001,10,20260721,0.2,-0.0225,-0.0243,-0.0325,0.0008,-0.0045,-0.0042,0.0332,0.0133
BNCI2015_001,10,20260721,0.4,0.0017,-0.044,-0.0008,0.0383,0.0305,0.0192,0.022,0.05
BNCI2015_001,11,20260721,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.04
BNCI2015_001,11,20260721,0.2,0.0243,-0.0191,0.0207,0.04,0.0221,0.0114,0.0284,0.0321
BNCI2015_001,11,20260721,0.4,0.1307,-0.045,0.0693,-0.0121,-0.0453,-0.0107,0.0025,0.1221
BNCI2015_001,12,20260721,0.0,0.0,-0.0,0.0,0.0342,0.0,0.0,0.0,0.0342
BNCI2015_001,12,20260721,0.2,-0.0183,-0.0315,-0.0175,0.1417,0.0633,0.0925,0.0442,0.1408
BNCI2015_001,12,20260721,0.4,0.1542,0.0093,0.1008,0.135,-0.0302,0.0858,0.0206,0.2342
BNCI2015_001,1,20260721,0.0,0.0,0.0,0.0,0.0693,0.0,0.0,0.0,0.0693
BNCI2015_001,1,20260721,0.2,-0.0021,-0.0281,-0.0071,0.0621,0.0304,0.0171,0.0104,0.0936
BNCI2015_001,1,20260721,0.4,0.0079,-0.1014,0.0064,0.0579,0.0654,0.0064,0.1213,0.1007
BNCI2015_001,2,20260721,0.0,0.0,0.0,0.0,0.1012,0.0,0.0,0.0,0.1012
BNCI2015_001,2,20260721,0.2,0.0119,-0.0101,0.0075,0.1081,0.0448,0.0244,0.0389,0.1019
BNCI2015_001,2,20260721,0.4,0.0419,-0.0413,0.0169,0.0806,0.0217,0.0519,0.0058,0.0975
BNCI2015_001,3,20260721,0.0,0.0,0.0,0.0,0.0079,0.0,0.0,0.0,0.0079
BNCI2015_001,3,20260721,0.2,0.0307,0.0116,0.0314,-0.0007,-0.016,-0.0114,0.0272,0.0429
BNCI2015_001,3,20260721,0.4,0.1621,0.0853,0.1257,0.0429,-0.0189,0.0343,-0.0332,0.1236
BNCI2015_001,4,20260721,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0038
BNCI2015_001,4,20260721,0.2,-0.0194,-0.0192,-0.0194,0.0112,-0.0067,0.01,-0.0503,0.0437
BNCI2015_001,4,20260721,0.4,0.0063,-0.0475,-0.0037,0.04,-0.0015,0.0125,-0.0403,0.0787
BNCI2015_001,5,20260721,0.0,0.0,0.0,0.0,0.0171,0.0,0.0,0.0,0.0171
BNCI2015_001,5,20260721,0.2,-0.01,-0.0774,-0.0364,0.0514,0.0534,0.0421,-0.0155,0.0207
BNCI2015_001,5,20260721,0.4,0.09,-0.0539,0.0771,0.035,0.0517,0.0193,-0.0058,0.0757
BNCI2015_001,6,20260721,0.0,0.0,0.0,0.0,-0.02,0.0,0.0,0.0,-0.02
BNCI2015_001,6,20260721,0.2,0.05,0.0162,0.0492,-0.105,-0.0623,-0.0992,0.0552,-0.01
BNCI2015_001,6,20260721,0.4,0.1583,-0.0413,0.0583,0.0733,0.1007,0.0833,0.095,0.0717
BNCI2015_001,7,20260721,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.105
BNCI2015_001,7,20260721,0.2,0.0714,0.0084,0.0293,-0.0021,-0.0951,-0.0893,-0.0518,0.1386
BNCI2015_001,7,20260721,0.4,0.2214,-0.065,0.1129,-0.0036,0.0174,-0.0657,-0.0208,0.2114
BNCI2015_001,8,20260721,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08
BNCI2015_001,8,20260721,0.2,0.0881,0.0413,0.07,0.0787,0.0421,0.0156,0.0124,0.1125
BNCI2015_001,8,20260721,0.4,0.145,0.0036,0.0394,0.0425,0.0553,-0.0131,-0.0188,0.1606
BNCI2015_001,9,20260721,0.0,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.055
BNCI2015_001,9,20260721,0.2,0.1136,0.0687,0.0971,0.0607,-0.0124,0.0007,0.017,0.1021
BNCI2015_001,9,20260721,0.4,0.2693,0.0651,0.1579,0.0093,-0.003,-0.03,0.0182,0.1264
BNCI2014_001,1,20260722,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0104
BNCI2014_001,1,20260722,0.2,0.0538,-0.0059,0.0747,0.0026,-0.013,-0.0078,-0.0328,0.0582
BNCI2014_001,1,20260722,0.4,0.1102,0.0073,0.0894,-0.0556,-0.0658,-0.0469,-0.0108,0.0547
BNCI2014_001,2,20260722,0.0,0.0,0.0,0.0,0.0616,0.0,0.0,0.0,0.0616
BNCI2014_001,2,20260722,0.2,0.1155,0.0156,0.0799,-0.0113,-0.0352,-0.053,-0.007,0.0799
BNCI2014_001,2,20260722,0.4,0.2813,0.0595,0.2248,-0.0495,-0.0972,-0.0729,0.0033,0.1024
BNCI2014_001,3,20260722,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0104
BNCI2014_001,3,20260722,0.2,0.0564,0.026,0.0269,-0.0078,-0.0043,-0.0087,-0.0019,0.0373
BNCI2014_001,3,20260722,0.4,0.1172,0.0108,0.079,-0.0694,-0.0726,-0.0694,0.0067,0.0495
BNCI2014_001,4,20260722,0.0,0.0,0.0,0.0,-0.0156,0.0,0.0,0.0,-0.0156
BNCI2014_001,4,20260722,0.2,0.0425,0.0118,0.0573,-0.0747,-0.0609,-0.0755,0.0284,0.0312
BNCI2014_001,4,20260722,0.4,0.0946,0.0194,0.059,-0.0304,0.0109,-0.0234,0.0317,0.0313
BNCI2014_001,5,20260722,0.0,0.0,0.0,0.0,0.0278,0.0,0.0,0.0,0.0278
BNCI2014_001,5,20260722,0.2,0.0651,-0.012,0.026,0.0278,0.0139,0.0252,0.0114,0.0807
BNCI2014_001,5,20260722,0.4,0.1319,-0.038,0.0556,0.0269,0.0174,0.0182,-0.0432,0.0451
BNCI2014_001,6,20260722,0.0,0.0,0.0,0.0,-0.0512,0.0,0.0,0.0,-0.0512
BNCI2014_001,6,20260722,0.2,0.0243,-0.0248,0.0148,0.0035,0.0363,0.0234,0.0637,0.0
BNCI2014_001,6,20260722,0.4,0.0208,-0.0337,0.0035,0.0347,0.0125,0.0625,-0.0406,0.066
BNCI2014_001,7,20260722,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,0.0,0.0078
BNCI2014_001,7,20260722,0.2,0.0868,0.0339,0.0929,-0.0035,-0.025,-0.0122,-0.0216,0.0486
BNCI2014_001,7,20260722,0.4,0.112,-0.0201,0.1155,-0.0226,-0.0422,-0.0312,-0.0173,0.0755
BNCI2014_001,8,20260722,0.0,0.0,0.0,0.0,0.0165,0.0,0.0,0.0,0.0165
BNCI2014_001,8,20260722,0.2,0.053,-0.0233,0.066,0.0278,0.0099,0.0182,-0.005,0.059
BNCI2014_001,8,20260722,0.4,0.2179,0.0502,0.1519,-0.0347,-0.028,-0.0373,-0.0307,0.1441
BNCI2014_001,9,20260722,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0,0.0417
BNCI2014_001,9,20260722,0.2,0.0747,0.0023,0.0573,-0.013,-0.0955,-0.0365,-0.0176,0.1649
BNCI2014_001,9,20260722,0.4,0.2344,-0.0075,0.2153,-0.0625,-0.0892,-0.0938,-0.0088,0.1102
BNCI2015_001,10,20260722,0.0,0.0,0.0,0.0,0.1143,0.0,0.0,0.0,0.1143
BNCI2015_001,10,20260722,0.2,0.0429,0.0116,0.0414,0.075,0.0261,-0.0207,0.0025,0.095
BNCI2015_001,10,20260722,0.4,0.0721,-0.068,0.0307,0.1579,0.1829,0.0964,-0.0049,0.0864
BNCI2015_001,11,20260722,0.0,0.0,0.0,0.0,0.0214,0.0,0.0,0.0,0.0214
BNCI2015_001,11,20260722,0.2,0.0543,0.0229,0.0364,-0.0136,-0.0147,-0.0257,-0.0007,0.0071
BNCI2015_001,11,20260722,0.4,0.21,-0.0073,0.1179,-0.0707,-0.1423,-0.0657,0.0025,0.1507
BNCI2015_001,12,20260722,0.0,0.0,0.0,0.0,0.0229,0.0,0.0,0.0,0.0229
BNCI2015_001,12,20260722,0.2,0.0236,0.0076,0.0157,0.0457,0.0167,0.02,-0.0306,0.0493
BNCI2015_001,12,20260722,0.4,0.08,0.0327,0.0664,-0.0043,-0.0576,-0.0257,-0.0837,0.2229
BNCI2015_001,1,20260722,0.0,0.0,0.0,0.0,0.0514,0.0,0.0,0.0,0.0514
BNCI2015_001,1,20260722,0.2,-0.0307,-0.0641,-0.0443,0.0629,-0.0037,0.0293,-0.0077,0.1243
BNCI2015_001,1,20260722,0.4,-0.015,-0.165,-0.0907,0.055,0.0873,0.0493,0.0015,0.1093
BNCI2015_001,2,20260722,0.0,0.0,0.0,0.0,0.1179,0.0,0.0,0.0,0.1179
BNCI2015_001,2,20260722,0.2,0.0036,-0.0293,0.0107,0.1243,0.0656,-0.0,0.0946,0.1264
BNCI2015_001,2,20260722,0.4,0.0571,-0.065,0.0186,0.1157,0.1179,0.0529,0.0202,0.0793
BNCI2015_001,3,20260722,0.0,0.0,0.0,0.0,0.0121,0.0,0.0,0.0,0.0121
BNCI2015_001,3,20260722,0.2,0.0079,0.0013,0.0071,-0.0007,-0.0243,-0.0114,-0.0304,0.0429
BNCI2015_001,3,20260722,0.4,0.0171,-0.0547,-0.0036,0.0936,0.0994,0.0936,0.0295,0.0514
BNCI2015_001,4,20260722,0.0,0.0,0.0,0.0,-0.015,0.0,0.0,0.0,-0.015
BNCI2015_001,4,20260722,0.2,-0.02,-0.0119,-0.015,-0.0193,-0.0103,-0.0207,-0.0088,0.0036
BNCI2015_001,4,20260722,0.4,0.0236,0.0037,0.0321,0.0164,0.0144,0.0257,0.0375,0.0193
BNCI2015_001,5,20260722,0.0,0.0,0.0,0.0,-0.0137,0.0,0.0,0.0,-0.0137
BNCI2015_001,5,20260722,0.2,0.0112,-0.0061,0.0037,0.0119,0.0031,0.0288,-0.0115,0.035
BNCI2015_001,5,20260722,0.4,0.0425,-0.0278,0.0131,-0.0094,-0.0244,-0.0031,0.0391,0.045
BNCI2015_001,6,20260722,0.0,0.0,0.0,0.0,0.0092,0.0,0.0,0.0,0.0092
BNCI2015_001,6,20260722,0.2,0.0575,0.0392,0.0142,0.0158,-0.0078,0.0158,0.0628,0.0575
BNCI2015_001,6,20260722,0.4,0.1433,-0.0742,0.04,0.1008,0.147,0.1125,0.0403,0.0183
BNCI2015_001,7,20260722,0.0,0.0,0.0,0.0,0.0786,0.0,0.0,0.0,0.0786
BNCI2015_001,7,20260722,0.2,0.0636,0.0063,0.0507,0.0586,-0.0043,-0.005,-0.0324,0.0936
BNCI2015_001,7,20260722,0.4,0.1593,-0.0597,0.0814,0.0371,0.0089,-0.025,-0.0363,0.1136
BNCI2015_001,8,20260722,0.0,0.0,0.0,0.0,0.1075,0.0,0.0,0.0,0.1075
BNCI2015_001,8,20260722,0.2,0.015,-0.0013,0.0275,0.0325,-0.0812,-0.0725,-0.0844,0.2275
BNCI2015_001,8,20260722,0.4,0.1325,0.02,0.1292,-0.0483,-0.087,-0.1725,-0.0131,0.1608
BNCI2015_001,9,20260722,0.0,0.0,0.0,0.0,0.0658,0.0,0.0,0.0,0.0658
BNCI2015_001,9,20260722,0.2,0.0525,0.0068,0.0483,-0.0025,-0.0428,-0.0575,0.0026,0.0817
BNCI2015_001,9,20260722,0.4,0.1525,0.0002,0.1058,0.0283,-0.0415,-0.04,0.0018,0.1675
BNCI2014_001,1,20260723,0.0,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0,-0.0009
BNCI2014_001,1,20260723,0.2,0.059,-0.0378,0.0599,-0.0104,-0.0302,-0.0191,-0.0316,0.0382
BNCI2014_001,1,20260723,0.4,0.2812,0.0191,0.204,0.0035,-0.0016,-0.0035,-0.0357,0.0556
BNCI2014_001,2,20260723,0.0,0.0,-0.0,0.0,-0.0174,0.0,0.0,0.0,-0.0174
BNCI2014_001,2,20260723,0.2,0.0252,0.0135,0.0286,-0.0217,-0.0174,-0.0035,-0.0099,0.0069
BNCI2014_001,2,20260723,0.4,0.0399,0.008,0.059,0.046,0.0125,0.0616,0.0108,0.0521
BNCI2014_001,3,20260723,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,0.0,0.0078
BNCI2014_001,3,20260723,0.2,-0.0104,-0.0349,-0.0078,0.0156,0.0031,0.0052,0.0333,0.0799
BNCI2014_001,3,20260723,0.4,0.0339,-0.072,0.0278,0.02,-0.0042,0.0078,-0.0019,0.0356
BNCI2014_001,4,20260723,0.0,0.0,0.0,0.0,0.0208,0.0,0.0,0.0,0.0208
BNCI2014_001,4,20260723,0.2,0.053,0.0111,0.0417,0.0078,-0.0391,-0.0087,-0.0267,0.059
BNCI2014_001,4,20260723,0.4,0.1623,0.0469,0.0937,-0.0347,-0.033,-0.0425,0.0103,0.0417
BNCI2014_001,5,20260723,0.0,0.0,0.0,0.0,0.0373,0.0,0.0,0.0,0.0373
BNCI2014_001,5,20260723,0.2,0.013,-0.0575,0.0113,0.0955,0.079,0.0729,0.02,0.0781
BNCI2014_001,5,20260723,0.4,0.0929,-0.0314,0.0547,-0.0174,-0.0323,-0.0391,-0.0146,0.072
BNCI2014_001,6,20260723,0.0,0.0,0.0,0.0,0.0234,0.0,0.0,0.0,0.0234
BNCI2014_001,6,20260723,0.2,0.059,0.0128,0.0608,0.013,-0.0125,-0.0061,-0.017,0.0382
BNCI2014_001,6,20260723,0.4,0.1441,0.0035,0.1198,0.0165,0.0253,0.0148,0.0381,0.0304
BNCI2014_001,7,20260723,0.0,0.0,0.0,0.0,-0.0009,0.0,0.0,0.0,-0.0009
BNCI2014_001,7,20260723,0.2,0.0755,0.0481,0.0556,-0.0182,-0.0193,-0.0122,0.023,0.0243
BNCI2014_001,7,20260723,0.4,0.0738,-0.0227,0.0451,-0.0738,-0.0729,-0.0608,-0.0146,0.0382
BNCI2014_001,8,20260723,0.0,0.0,0.0,0.0,0.0078,0.0,0.0,0.0,0.0078
BNCI2014_001,8,20260723,0.2,0.066,-0.0016,0.0495,-0.0208,-0.0269,-0.0174,0.0009,0.0816
BNCI2014_001,8,20260723,0.4,0.1693,0.016,0.1328,0.0148,0.0186,0.0035,-0.001,0.0365
BNCI2014_001,9,20260723,0.0,0.0,0.0,0.0,-0.0078,0.0,0.0,0.0,-0.0078
BNCI2014_001,9,20260723,0.2,0.0339,-0.0141,0.0208,0.0382,0.0347,0.0278,-0.0093,0.0226
BNCI2014_001,9,20260723,0.4,0.1337,0.0087,0.0998,-0.0052,-0.0281,-0.0174,-0.0287,0.112
BNCI2015_001,10,20260723,0.0,0.0,0.0,0.0,0.1967,0.0,0.0,0.0,0.1967
BNCI2015_001,10,20260723,0.2,0.0258,-0.0037,0.0133,0.0383,-0.0803,-0.1483,-0.0373,0.2342
BNCI2015_001,10,20260723,0.4,0.1942,-0.0062,0.155,-0.0208,-0.017,-0.165,-0.0116,0.2158
BNCI2015_001,11,20260723,0.0,0.0,0.0,0.0,0.0236,0.0,0.0,0.0,0.0236
BNCI2015_001,11,20260723,0.2,0.0593,0.0231,0.0507,-0.015,-0.0317,-0.0214,-0.0163,0.0379
BNCI2015_001,11,20260723,0.4,0.2193,-0.0249,0.0971,-0.0629,-0.088,-0.0571,-0.0069,0.1257
BNCI2015_001,12,20260723,0.0,0.0,0.0,0.0,0.0233,0.0,0.0,0.0,0.0233
BNCI2015_001,12,20260723,0.2,0.0633,-0.0143,0.0439,0.0533,0.0232,0.045,0.0574,0.0856
BNCI2015_001,12,20260723,0.4,0.2372,0.023,0.1061,0.0661,0.0707,0.0611,0.004,0.0472
BNCI2015_001,1,20260723,0.0,0.0,0.0,0.0,0.0929,0.0,0.0,0.0,0.0929
BNCI2015_001,1,20260723,0.2,0.0314,0.0087,0.0336,0.0957,0.0183,-0.0014,0.0372,0.12
BNCI2015_001,1,20260723,0.4,0.1107,0.0149,0.1043,0.07,0.0426,-0.0257,-0.0161,0.1021
BNCI2015_001,2,20260723,0.0,0.0,0.0,0.0,0.1129,0.0,0.0,0.0,0.1129
BNCI2015_001,2,20260723,0.2,0.0464,-0.0164,0.0421,0.0093,-0.0284,-0.08,0.0448,0.0886
BNCI2015_001,2,20260723,0.4,0.0907,-0.0284,0.03,0.02,-0.0051,0.0093,-0.093,0.0836
BNCI2015_001,3,20260723,0.0,0.0,0.0,0.0,0.1236,0.0,0.0,0.0,0.1236
BNCI2015_001,3,20260723,0.2,0.0479,-0.0377,0.0121,0.0986,0.064,0.0193,0.0298,0.1393
BNCI2015_001,3,20260723,0.4,0.1429,-0.0393,0.0764,0.0564,0.0386,0.0193,-0.003,0.1586
BNCI2015_001,4,20260723,0.0,0.0,0.0,0.0,-0.0175,0.0,0.0,0.0,-0.0175
BNCI2015_001,4,20260723,0.2,-0.0431,-0.0381,-0.04,0.0044,0.0079,0.025,-0.0972,0.005
BNCI2015_001,4,20260723,0.4,-0.0375,-0.0227,-0.0212,0.0019,-0.018,0.02,-0.0943,0.07
BNCI2015_001,5,20260723,0.0,0.0,0.0,0.0,0.0189,0.0,0.0,0.0,0.0189
BNCI2015_001,5,20260723,0.2,0.0339,0.0367,0.0139,-0.0311,-0.0584,-0.0517,-0.0169,0.0606
BNCI2015_001,5,20260723,0.4,0.065,-0.0106,0.0522,-0.0117,0.0011,-0.0156,-0.0253,0.0139
BNCI2015_001,6,20260723,0.0,0.0,0.0,0.0,0.0193,0.0,0.0,0.0,0.0193
BNCI2015_001,6,20260723,0.2,0.015,-0.0451,0.0114,0.0621,0.0591,0.0407,0.0275,0.0221
BNCI2015_001,6,20260723,0.4,0.1557,0.053,0.1336,0.0571,0.0271,0.055,0.0063,0.0943
BNCI2015_001,7,20260723,0.0,0.0,0.0,0.0,0.0221,0.0,0.0,0.0,0.0221
BNCI2015_001,7,20260723,0.2,0.0314,0.0447,0.0079,0.0364,0.015,0.0221,-0.0173,0.0493
BNCI2015_001,7,20260723,0.4,0.0386,-0.0439,0.0307,-0.0636,-0.0923,-0.0764,-0.0068,0.0736
BNCI2015_001,8,20260723,0.0,0.0,0.0,0.0,0.1021,0.0,0.0,0.0,0.1021
BNCI2015_001,8,20260723,0.2,0.0564,0.043,0.0521,0.0171,-0.0174,-0.0607,-0.0167,0.0657
BNCI2015_001,8,20260723,0.4,0.0979,0.0207,0.0764,-0.0193,-0.0964,-0.0621,-0.0566,0.145
BNCI2015_001,9,20260723,0.0,0.0,0.0,0.0,0.0443,0.0,0.0,0.0,0.0443
BNCI2015_001,9,20260723,0.2,0.0643,0.0353,0.05,0.0057,-0.068,-0.0357,-0.0266,0.1
BNCI2015_001,9,20260723,0.4,0.1886,0.066,0.1157,0.0136,-0.0493,-0.0014,-0.0129,0.1371
BNCI2014_001,1,20260724,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0069
BNCI2014_001,1,20260724,0.2,0.0729,0.0212,0.0677,-0.0278,-0.0318,-0.0269,-0.0038,0.026
BNCI2014_001,1,20260724,0.4,0.0894,-0.0184,0.092,-0.033,-0.0384,-0.0347,-0.0336,0.0573
BNCI2014_001,2,20260724,0.0,0.0,0.0,0.0,0.0634,0.0,0.0,0.0,0.0634
BNCI2014_001,2,20260724,0.2,0.1641,0.1104,0.145,-0.0625,-0.1047,-0.092,-0.0309,0.1189
BNCI2014_001,2,20260724,0.4,0.2717,0.0689,0.2248,-0.0651,-0.1087,-0.1102,-0.0278,0.0894
BNCI2014_001,3,20260724,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.013
BNCI2014_001,3,20260724,0.2,0.0582,0.0194,0.0304,-0.0208,-0.0458,-0.0174,-0.0055,0.0469
BNCI2014_001,3,20260724,0.4,0.1068,0.003,0.0573,-0.0217,-0.0436,-0.0339,-0.0066,0.079
BNCI2014_001,4,20260724,0.0,0.0,0.0,0.0,0.0174,0.0,0.0,0.0,0.0174
BNCI2014_001,4,20260724,0.2,0.0226,-0.0281,0.013,0.0009,-0.0113,-0.0165,0.0047,0.0634
BNCI2014_001,4,20260724,0.4,0.1476,0.0224,0.0877,0.026,-0.0116,0.013,0.0032,0.0538
BNCI2014_001,5,20260724,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0069
BNCI2014_001,5,20260724,0.2,0.0486,0.0264,0.0339,0.0304,0.0092,0.0286,0.0059,0.0295
BNCI2014_001,5,20260724,0.4,0.1007,-0.0191,0.0408,0.0234,0.0302,0.0226,0.0084,0.0122
BNCI2014_001,6,20260724,0.0,0.0,0.0,0.0,-0.0408,0.0,0.0,0.0,-0.0408
BNCI2014_001,6,20260724,0.2,0.0252,0.004,0.0408,0.0035,0.0082,0.0304,0.0279,0.0234
BNCI2014_001,6,20260724,0.4,0.0547,-0.0172,0.0269,0.0816,0.0762,0.1033,0.0329,0.0382
BNCI2014_001,7,20260724,0.0,0.0,0.0,0.0,0.0182,0.0,0.0,0.0,0.0182
BNCI2014_001,7,20260724,0.2,0.0469,-0.0128,0.0477,0.0208,0.0089,0.0078,-0.0141,0.0781
BNCI2014_001,7,20260724,0.4,0.1007,-0.062,0.0781,0.0356,0.0431,0.0373,-0.0239,0.0434
BNCI2014_001,8,20260724,0.0,0.0,0.0,0.0,0.0182,0.0,0.0,0.0,0.0182
BNCI2014_001,8,20260724,0.2,0.0833,0.0066,0.0625,0.0234,-0.0087,0.0148,-0.0142,0.1128
BNCI2014_001,8,20260724,0.4,0.1102,-0.0503,0.0703,0.0868,0.0832,0.0642,-0.0306,0.0703
BNCI2014_001,9,20260724,0.0,0.0,0.0,0.0,0.0104,0.0,0.0,0.0,0.0104
BNCI2014_001,9,20260724,0.2,-0.0009,-0.0427,-0.0061,0.0833,0.038,0.0764,0.0086,0.0877
BNCI2014_001,9,20260724,0.4,0.0842,-0.028,0.0781,0.0538,0.0495,0.0486,-0.023,0.0807
BNCI2015_001,10,20260724,0.0,0.0,0.0,0.0,0.0393,0.0,0.0,0.0,0.0393
BNCI2015_001,10,20260724,0.2,0.0107,-0.0099,0.0007,0.0086,-0.0211,-0.0271,0.0278,0.0579
BNCI2015_001,10,20260724,0.4,0.0314,-0.0144,0.0171,0.0329,0.033,-0.0043,0.031,0.0321
BNCI2015_001,11,20260724,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02
BNCI2015_001,11,20260724,0.2,0.0008,-0.027,-0.0042,0.0367,-0.0088,0.025,0.0036,0.0825
BNCI2015_001,11,20260724,0.4,0.0567,-0.0247,-0.0025,0.0433,-0.0098,0.0358,0.012,0.1092
BNCI2015_001,12,20260724,0.0,0.0,0.0,0.0,0.0294,0.0,0.0,0.0,0.0294
BNCI2015_001,12,20260724,0.2,0.0119,-0.0103,-0.0144,0.0919,0.025,0.0713,0.0187,0.1138
BNCI2015_001,12,20260724,0.4,0.1519,-0.0215,0.1119,0.1338,0.0553,0.1069,0.0073,0.1412
BNCI2015_001,1,20260724,0.0,0.0,0.0,0.0,0.0964,0.0,0.0,0.0,0.0964
BNCI2015_001,1,20260724,0.2,-0.0114,-0.0351,-0.0321,0.1521,0.0966,0.0636,0.0575,0.1171
BNCI2015_001,1,20260724,0.4,0.0171,-0.0494,-0.0136,0.1336,0.0676,0.0379,0.0721,0.1329
BNCI2015_001,2,20260724,0.0,0.0,0.0,0.0,0.1088,0.0,0.0,0.0,0.1088
BNCI2015_001,2,20260724,0.2,0.0019,-0.0046,0.0069,0.11,0.0245,0.0069,0.0544,0.1181
BNCI2015_001,2,20260724,0.4,0.0225,-0.0684,0.03,0.0887,0.0925,-0.01,0.0577,0.0644
BNCI2015_001,3,20260724,0.0,0.0,0.0,0.0,0.0028,0.0,0.0,0.0,0.0028
BNCI2015_001,3,20260724,0.2,0.0272,-0.0031,0.0167,0.0406,-0.003,0.045,0.0424,0.0633
BNCI2015_001,3,20260724,0.4,0.1172,-0.0009,0.0561,0.0844,0.075,0.0672,0.0299,0.0583
BNCI2015_001,4,20260724,0.0,0.0,0.0,0.0,0.1486,0.0,0.0,0.0,0.1486
BNCI2015_001,4,20260724,0.2,-0.0171,-0.0166,-0.015,0.0664,-0.0383,-0.0379,0.0218,0.1886
