dataset,target_subject,token_seed,gamma,max_abs_delta_global_Py,n_swaps
BNCI2014_001,8,20260722,0.4,0,690
BNCI2014_001,9,20260722,0.0,0,0
BNCI2014_001,9,20260722,0.2,0,345
BNCI2014_001,9,20260722,0.4,0,604
BNCI2015_001,10,20260722,0.0,0,0
BNCI2015_001,10,20260722,0.2,0,240
BNCI2015_001,10,20260722,0.4,0,480
BNCI2015_001,11,20260722,0.0,0,0
BNCI2015_001,11,20260722,0.2,0,360
BNCI2015_001,11,20260722,0.4,0,720
BNCI2015_001,12,20260722,0.0,0,0
BNCI2015_001,12,20260722,0.2,0,200
BNCI2015_001,12,20260722,0.4,0,400
BNCI2015_001,1,20260722,0.0,0,0
BNCI2015_001,1,20260722,0.2,0,360
BNCI2015_001,1,20260722,0.4,0,720
BNCI2015_001,2,20260722,0.0,0,0
BNCI2015_001,2,20260722,0.2,0,360
BNCI2015_001,2,20260722,0.4,0,720
BNCI2015_001,3,20260722,0.0,0,0
BNCI2015_001,3,20260722,0.2,0,280
BNCI2015_001,3,20260722,0.4,0,560
BNCI2015_001,4,20260722,0.0,0,0
BNCI2015_001,4,20260722,0.2,0,320
BNCI2015_001,4,20260722,0.4,0,640
BNCI2015_001,5,20260722,0.0,0,0
BNCI2015_001,5,20260722,0.2,0,360
BNCI2015_001,5,20260722,0.4,0,720
BNCI2015_001,6,20260722,0.0,0,0
BNCI2015_001,6,20260722,0.2,0,400
BNCI2015_001,6,20260722,0.4,0,800
BNCI2015_001,7,20260722,0.0,0,0
BNCI2015_001,7,20260722,0.2,0,360
BNCI2015_001,7,20260722,0.4,0,720
BNCI2015_001,8,20260722,0.0,0,0
BNCI2015_001,8,20260722,0.2,0,280
BNCI2015_001,8,20260722,0.4,0,560
BNCI2015_001,9,20260722,0.0,0,0
BNCI2015_001,9,20260722,0.2,0,280
BNCI2015_001,9,20260722,0.4,0,560
BNCI2014_001,1,20260723,0.0,0,0
BNCI2014_001,1,20260723,0.2,0,230
BNCI2014_001,1,20260723,0.4,0,632
BNCI2014_001,2,20260723,0.0,0,0
BNCI2014_001,2,20260723,0.2,0,230
BNCI2014_001,2,20260723,0.4,0,604
BNCI2014_001,3,20260723,0.0,0,0
BNCI2014_001,3,20260723,0.2,0,345
BNCI2014_001,3,20260723,0.4,0,632
BNCI2014_001,4,20260723,0.0,0,0
BNCI2014_001,4,20260723,0.2,0,345
BNCI2014_001,4,20260723,0.4,0,690
BNCI2014_001,5,20260723,0.0,0,0
BNCI2014_001,5,20260723,0.2,0,345
BNCI2014_001,5,20260723,0.4,0,604
BNCI2014_001,6,20260723,0.0,0,0
BNCI2014_001,6,20260723,0.2,0,345
BNCI2014_001,6,20260723,0.4,0,604
BNCI2014_001,7,20260723,0.0,0,0
BNCI2014_001,7,20260723,0.2,0,345
BNCI2014_001,7,20260723,0.4,0,604
BNCI2014_001,8,20260723,0.0,0,0
BNCI2014_001,8,20260723,0.2,0,345
BNCI2014_001,8,20260723,0.4,0,632
BNCI2014_001,9,20260723,0.0,0,0
BNCI2014_001,9,20260723,0.2,0,345
BNCI2014_001,9,20260723,0.4,0,690
BNCI2015_001,10,20260723,0.0,0,0
BNCI2015_001,10,20260723,0.2,0,360
BNCI2015_001,10,20260723,0.4,0,720
BNCI2015_001,11,20260723,0.0,0,0
BNCI2015_001,11,20260723,0.2,0,360
BNCI2015_001,11,20260723,0.4,0,720
BNCI2015_001,12,20260723,0.0,0,0
BNCI2015_001,12,20260723,0.2,0,320
BNCI2015_001,12,20260723,0.4,0,640
BNCI2015_001,1,20260723,0.0,0,0
BNCI2015_001,1,20260723,0.2,0,280
BNCI2015_001,1,20260723,0.4,0,560
BNCI2015_001,2,20260723,0.0,0,0
BNCI2015_001,2,20260723,0.2,0,360
BNCI2015_001,2,20260723,0.4,0,720
BNCI2015_001,3,20260723,0.0,0,0
BNCI2015_001,3,20260723,0.2,0,280
BNCI2015_001,3,20260723,0.4,0,560
BNCI2015_001,4,20260723,0.0,0,0
BNCI2015_001,4,20260723,0.2,0,280
BNCI2015_001,4,20260723,0.4,0,560
BNCI2015_001,5,20260723,0.0,0,0
BNCI2015_001,5,20260723,0.2,0,320
BNCI2015_001,5,20260723,0.4,0,640
BNCI2015_001,6,20260723,0.0,0,0
BNCI2015_001,6,20260723,0.2,0,280
BNCI2015_001,6,20260723,0.4,0,560
BNCI2015_001,7,20260723,0.0,0,0
BNCI2015_001,7,20260723,0.2,0,280
BNCI2015_001,7,20260723,0.4,0,560
BNCI2015_001,8,20260723,0.0,0,0
BNCI2015_001,8,20260723,0.2,0,240
BNCI2015_001,8,20260723,0.4,0,480
BNCI2015_001,9,20260723,0.0,0,0
BNCI2015_001,9,20260723,0.2,0,240
BNCI2015_001,9,20260723,0.4,0,480
BNCI2014_001,1,20260724,0.0,0,0
BNCI2014_001,1,20260724,0.2,0,345
BNCI2014_001,1,20260724,0.4,0,604
BNCI2014_001,2,20260724,0.0,0,0
BNCI2014_001,2,20260724,0.2,0,345
BNCI2014_001,2,20260724,0.4,0,632
BNCI2014_001,3,20260724,0.0,0,0
BNCI2014_001,3,20260724,0.2,0,345
BNCI2014_001,3,20260724,0.4,0,632
BNCI2014_001,4,20260724,0.0,0,0
BNCI2014_001,4,20260724,0.2,0,230
BNCI2014_001,4,20260724,0.4,0,604
BNCI2014_001,5,20260724,0.0,0,0
BNCI2014_001,5,20260724,0.2,0,345
BNCI2014_001,5,20260724,0.4,0,690
BNCI2014_001,6,20260724,0.0,0,0
BNCI2014_001,6,20260724,0.2,0,345
BNCI2014_001,6,20260724,0.4,0,690
BNCI2014_001,7,20260724,0.0,0,0
BNCI2014_001,7,20260724,0.2,0,345
BNCI2014_001,7,20260724,0.4,0,690
BNCI2014_001,8,20260724,0.0,0,0
BNCI2014_001,8,20260724,0.2,0,230
BNCI2014_001,8,20260724,0.4,0,546
BNCI2014_001,9,20260724,0.0,0,0
BNCI2014_001,9,20260724,0.2,0,345
BNCI2014_001,9,20260724,0.4,0,604
BNCI2015_001,10,20260724,0.0,0,0
BNCI2015_001,10,20260724,0.2,0,280
BNCI2015_001,10,20260724,0.4,0,560
BNCI2015_001,11,20260724,0.0,0,0
BNCI2015_001,11,20260724,0.2,0,280
BNCI2015_001,11,20260724,0.4,0,560
BNCI2015_001,12,20260724,0.0,0,0
BNCI2015_001,12,20260724,0.2,0,280
BNCI2015_001,12,20260724,0.4,0,560
BNCI2015_001,1,20260724,0.0,0,0
BNCI2015_001,1,20260724,0.2,0,200
BNCI2015_001,1,20260724,0.4,0,400
BNCI2015_001,2,20260724,0.0,0,0
BNCI2015_001,2,20260724,0.2,0,240
BNCI2015_001,2,20260724,0.4,0,480
BNCI2015_001,3,20260724,0.0,0,0
BNCI2015_001,3,20260724,0.2,0,320
BNCI2015_001,3,20260724,0.4,0,640
BNCI2015_001,4,20260724,0.0,0,0
BNCI2015_001,4,20260724,0.2,0,280
BNCI2015_001,4,20260724,0.4,0,560
BNCI2015_001,5,20260724,0.0,0,0
BNCI2015_001,5,20260724,0.2,0,320
BNCI2015_001,5,20260724,0.4,0,640
BNCI2015_001,6,20260724,0.0,0,0
BNCI2015_001,6,20260724,0.2,0,200
BNCI2015_001,6,20260724,0.4,0,400
BNCI2015_001,7,20260724,0.0,0,0
BNCI2015_001,7,20260724,0.2,0,320
BNCI2015_001,7,20260724,0.4,0,640
BNCI2015_001,8,20260724,0.0,0,0
BNCI2015_001,8,20260724,0.2,0,360
BNCI2015_001,8,20260724,0.4,0,720
BNCI2015_001,9,20260724,0.0,0,0
BNCI2015_001,9,20260724,0.2,0,240
BNCI2015_001,9,20260724,0.4,0,480
BNCI2014_001,1,20260725,0.0,0,0
BNCI2014_001,1,20260725,0.2,0,345
BNCI2014_001,1,20260725,0.4,0,604
BNCI2014_001,2,20260725,0.0,0,0
BNCI2014_001,2,20260725,0.2,0,345
BNCI2014_001,2,20260725,0.4,0,604
BNCI2014_001,3,20260725,0.0,0,0
BNCI2014_001,3,20260725,0.2,0,345
BNCI2014_001,3,20260725,0.4,0,604
BNCI2014_001,4,20260725,0.0,0,0
BNCI2014_001,4,20260725,0.2,0,345
BNCI2014_001,4,20260725,0.4,0,632
BNCI2014_001,5,20260725,0.0,0,0
BNCI2014_001,5,20260725,0.2,0,345
BNCI2014_001,5,20260725,0.4,0,604
BNCI2014_001,6,20260725,0.0,0,0
BNCI2014_001,6,20260725,0.2,0,345
BNCI2014_001,6,20260725,0.4,0,632
BNCI2014_001,7,20260725,0.0,0,0
BNCI2014_001,7,20260725,0.2,0,345
BNCI2014_001,7,20260725,0.4,0,690
BNCI2014_001,8,20260725,0.0,0,0
BNCI2014_001,8,20260725,0.2,0,345
BNCI2014_001,8,20260725,0.4,0,604
BNCI2014_001,9,20260725,0.0,0,0
BNCI2014_001,9,20260725,0.2,0,345
BNCI2014_001,9,20260725,0.4,0,690
BNCI2015_001,10,20260725,0.0,0,0
BNCI2015_001,10,20260725,0.2,0,360
BNCI2015_001,10,20260725,0.4,0,720
BNCI2015_001,11,20260725,0.0,0,0
BNCI2015_001,11,20260725,0.2,0,280
BNCI2015_001,11,20260725,0.4,0,560
BNCI2015_001,12,20260725,0.0,0,0
BNCI2015_001,12,20260725,0.2,0,240
BNCI2015_001,12,20260725,0.4,0,480
BNCI2015_001,1,20260725,0.0,0,0
BNCI2015_001,1,20260725,0.2,0,280
BNCI2015_001,1,20260725,0.4,0,560
BNCI2015_001,2,20260725,0.0,0,0
BNCI2015_001,2,20260725,0.2,0,360
BNCI2015_001,2,20260725,0.4,0,720
BNCI2015_001,3,20260725,0.0,0,0
BNCI2015_001,3,20260725,0.2,0,320
BNCI2015_001,3,20260725,0.4,0,640
BNCI2015_001,4,20260725,0.0,0,0
BNCI2015_001,4,20260725,0.2,0,320
BNCI2015_001,4,20260725,0.4,0,640
BNCI2015_001,5,20260725,0.0,0,0
BNCI2015_001,5,20260725,0.2,0,320
BNCI2015_001,5,20260725,0.4,0,640
BNCI2015_001,6,20260725,0.0,0,0
BNCI2015_001,6,20260725,0.2,0,360
BNCI2015_001,6,20260725,0.4,0,720
BNCI2015_001,7,20260725,0.0,0,0
BNCI2015_001,7,20260725,0.2,0,280
BNCI2015_001,7,20260725,0.4,0,560
BNCI2015_001,8,20260725,0.0,0,0
BNCI2015_001,8,20260725,0.2,0,360
BNCI2015_001,8,20260725,0.4,0,720
BNCI2015_001,9,20260725,0.0,0,0
BNCI2015_001,9,20260725,0.2,0,360
BNCI2015_001,9,20260725,0.4,0,720
BNCI2014_001,1,20260726,0.0,0,0
BNCI2014_001,1,20260726,0.2,0,345
BNCI2014_001,1,20260726,0.4,0,632
BNCI2014_001,2,20260726,0.0,0,0
BNCI2014_001,2,20260726,0.2,0,345
BNCI2014_001,2,20260726,0.4,0,690
BNCI2014_001,3,20260726,0.0,0,0
BNCI2014_001,3,20260726,0.2,0,230
BNCI2014_001,3,20260726,0.4,0,690
BNCI2014_001,4,20260726,0.0,0,0
BNCI2014_001,4,20260726,0.2,0,345
BNCI2014_001,4,20260726,0.4,0,604
BNCI2014_001,5,20260726,0.0,0,0
BNCI2014_001,5,20260726,0.2,0,345
BNCI2014_001,5,20260726,0.4,0,604
BNCI2014_001,6,20260726,0.0,0,0
BNCI2014_001,6,20260726,0.2,0,345
BNCI2014_001,6,20260726,0.4,0,604
BNCI2014_001,7,20260726,0.0,0,0
BNCI2014_001,7,20260726,0.2,0,345
BNCI2014_001,7,20260726,0.4,0,604
BNCI2014_001,8,20260726,0.0,0,0
BNCI2014_001,8,20260726,0.2,0,230
BNCI2014_001,8,20260726,0.4,0,604
BNCI2014_001,9,20260726,0.0,0,0
BNCI2014_001,9,20260726,0.2,0,345
BNCI2014_001,9,20260726,0.4,0,604
BNCI2015_001,10,20260726,0.0,0,0
BNCI2015_001,10,20260726,0.2,0,320
BNCI2015_001,10,20260726,0.4,0,640
BNCI2015_001,11,20260726,0.0,0,0
BNCI2015_001,11,20260726,0.2,0,280
BNCI2015_001,11,20260726,0.4,0,560
BNCI2015_001,12,20260726,0.0,0,0
BNCI2015_001,12,20260726,0.2,0,280
BNCI2015_001,12,20260726,0.4,0,560
BNCI2015_001,1,20260726,0.0,0,0
BNCI2015_001,1,20260726,0.2,0,360
BNCI2015_001,1,20260726,0.4,0,720
BNCI2015_001,2,20260726,0.0,0,0
BNCI2015_001,2,20260726,0.2,0,360
BNCI2015_001,2,20260726,0.4,0,720
BNCI2015_001,3,20260726,0.0,0,0
BNCI2015_001,3,20260726,0.2,0,280
BNCI2015_001,3,20260726,0.4,0,560
BNCI2015_001,4,20260726,0.0,0,0
BNCI2015_001,4,20260726,0.2,0,360
BNCI2015_001,4,20260726,0.4,0,720
BNCI2015_001,5,20260726,0.0,0,0
BNCI2015_001,5,20260726,0.2,0,360
BNCI2015_001,5,20260726,0.4,0,720
BNCI2015_001,6,20260726,0.0,0,0
BNCI2015_001,6,20260726,0.2,0,160
BNCI2015_001,6,20260726,0.4,0,320
BNCI2015_001,7,20260726,0.0,0,0
BNCI2015_001,7,20260726,0.2,0,280
BNCI2015_001,7,20260726,0.4,0,560
BNCI2015_001,8,20260726,0.0,0,0
BNCI2015_001,8,20260726,0.2,0,280
BNCI2015_001,8,20260726,0.4,0,560
BNCI2015_001,9,20260726,0.0,0,0
BNCI2015_001,9,20260726,0.2,0,160
BNCI2015_001,9,20260726,0.4,0,320
BNCI2014_001,1,20260727,0.0,0,0
BNCI2014_001,1,20260727,0.2,0,345
BNCI2014_001,1,20260727,0.4,0,690
BNCI2014_001,2,20260727,0.0,0,0
BNCI2014_001,2,20260727,0.2,0,345
BNCI2014_001,2,20260727,0.4,0,546
BNCI2014_001,3,20260727,0.0,0,0
BNCI2014_001,3,20260727,0.2,0,345
BNCI2014_001,3,20260727,0.4,0,604
BNCI2014_001,4,20260727,0.0,0,0
BNCI2014_001,4,20260727,0.2,0,345
BNCI2014_001,4,20260727,0.4,0,690
BNCI2014_001,5,20260727,0.0,0,0
BNCI2014_001,5,20260727,0.2,0,345
BNCI2014_001,5,20260727,0.4,0,632
BNCI2014_001,6,20260727,0.0,0,0
BNCI2014_001,6,20260727,0.2,0,345
BNCI2014_001,6,20260727,0.4,0,632
BNCI2014_001,7,20260727,0.0,0,0
BNCI2014_001,7,20260727,0.2,0,345
BNCI2014_001,7,20260727,0.4,0,632
BNCI2014_001,8,20260727,0.0,0,0
BNCI2014_001,8,20260727,0.2,0,345
BNCI2014_001,8,20260727,0.4,0,604
BNCI2014_001,9,20260727,0.0,0,0
BNCI2014_001,9,20260727,0.2,0,345
BNCI2014_001,9,20260727,0.4,0,604
BNCI2015_001,10,20260727,0.0,0,0
BNCI2015_001,10,20260727,0.2,0,320
BNCI2015_001,10,20260727,0.4,0,640
BNCI2015_001,11,20260727,0.0,0,0
BNCI2015_001,11,20260727,0.2,0,280
BNCI2015_001,11,20260727,0.4,0,560
BNCI2015_001,12,20260727,0.0,0,0
BNCI2015_001,12,20260727,0.2,0,280
BNCI2015_001,12,20260727,0.4,0,560
BNCI2015_001,1,20260727,0.0,0,0
BNCI2015_001,1,20260727,0.2,0,280
BNCI2015_001,1,20260727,0.4,0,560
BNCI2015_001,2,20260727,0.0,0,0
BNCI2015_001,2,20260727,0.2,0,240
BNCI2015_001,2,20260727,0.4,0,480
BNCI2015_001,3,20260727,0.0,0,0
BNCI2015_001,3,20260727,0.2,0,360
BNCI2015_001,3,20260727,0.4,0,720
BNCI2015_001,4,20260727,0.0,0,0
BNCI2015_001,4,20260727,0.2,0,280
BNCI2015_001,4,20260727,0.4,0,560
BNCI2015_001,5,20260727,0.0,0,0
BNCI2015_001,5,20260727,0.2,0,280
BNCI2015_001,5,20260727,0.4,0,560
BNCI2015_001,6,20260727,0.0,0,0
BNCI2015_001,6,20260727,0.2,0,360
BNCI2015_001,6,20260727,0.4,0,720
BNCI2015_001,7,20260727,0.0,0,0
BNCI2015_001,7,20260727,0.2,0,400
BNCI2015_001,7,20260727,0.4,0,800
BNCI2015_001,8,20260727,0.0,0,0
BNCI2015_001,8,20260727,0.2,0,240
BNCI2015_001,8,20260727,0.4,0,480
BNCI2015_001,9,20260727,0.0,0,0
BNCI2015_001,9,20260727,0.2,0,320
BNCI2015_001,9,20260727,0.4,0,640
BNCI2014_001,1,20260728,0.0,0,0
BNCI2014_001,1,20260728,0.2,0,345
BNCI2014_001,1,20260728,0.4,0,604
BNCI2014_001,2,20260728,0.0,0,0
BNCI2014_001,2,20260728,0.2,0,345
BNCI2014_001,2,20260728,0.4,0,604
BNCI2014_001,3,20260728,0.0,0,0
BNCI2014_001,3,20260728,0.2,0,345
BNCI2014_001,3,20260728,0.4,0,604
BNCI2014_001,4,20260728,0.0,0,0
BNCI2014_001,4,20260728,0.2,0,230
BNCI2014_001,4,20260728,0.4,0,690
BNCI2014_001,5,20260728,0.0,0,0
BNCI2014_001,5,20260728,0.2,0,345
BNCI2014_001,5,20260728,0.4,0,632
BNCI2014_001,6,20260728,0.0,0,0
BNCI2014_001,6,20260728,0.2,0,345
BNCI2014_001,6,20260728,0.4,0,604
BNCI2014_001,7,20260728,0.0,0,0
BNCI2014_001,7,20260728,0.2,0,345
BNCI2014_001,7,20260728,0.4,0,690
BNCI2014_001,8,20260728,0.0,0,0
BNCI2014_001,8,20260728,0.2,0,345
BNCI2014_001,8,20260728,0.4,0,604
BNCI2014_001,9,20260728,0.0,0,0
BNCI2014_001,9,20260728,0.2,0,345
BNCI2014_001,9,20260728,0.4,0,632
BNCI2015_001,10,20260728,0.0,0,0
BNCI2015_001,10,20260728,0.2,0,360
BNCI2015_001,10,20260728,0.4,0,720
BNCI2015_001,11,20260728,0.0,0,0
BNCI2015_001,11,20260728,0.2,0,240
BNCI2015_001,11,20260728,0.4,0,480
BNCI2015_001,12,20260728,0.0,0,0
BNCI2015_001,12,20260728,0.2,0,320
BNCI2015_001,12,20260728,0.4,0,640
BNCI2015_001,1,20260728,0.0,0,0
BNCI2015_001,1,20260728,0.2,0,360
BNCI2015_001,1,20260728,0.4,0,720
BNCI2015_001,2,20260728,0.0,0,0
BNCI2015_001,2,20260728,0.2,0,280
BNCI2015_001,2,20260728,0.4,0,560
BNCI2015_001,3,20260728,0.0,0,0
BNCI2015_001,3,20260728,0.2,0,360
BNCI2015_001,3,20260728,0.4,0,720
BNCI2015_001,4,20260728,0.0,0,0
BNCI2015_001,4,20260728,0.2,0,280
BNCI2015_001,4,20260728,0.4,0,560
BNCI2015_001,5,20260728,0.0,0,0
BNCI2015_001,5,20260728,0.2,0,360
BNCI2015_001,5,20260728,0.4,0,720
BNCI2015_001,6,20260728,0.0,0,0
BNCI2015_001,6,20260728,0.2,0,320
BNCI2015_001,6,20260728,0.4,0,640
BNCI2015_001,7,20260728,0.0,0,0
BNCI2015_001,7,20260728,0.2,0,400
BNCI2015_001,7,20260728,0.4,0,800
BNCI2015_001,8,20260728,0.0,0,0
BNCI2015_001,8,20260728,0.2,0,280
BNCI2015_001,8,20260728,0.4,0,560
BNCI2015_001,9,20260728,0.0,0,0
BNCI2015_001,9,20260728,0.2,0,360
BNCI2015_001,9,20260728,0.4,0,720
