dataset,target_subject,token_seed,gamma,H0_tgt,Hconflict_tgt,E4_tgt,E4b_tgt,ERASE_tgt,Hreg_tgt
BNCI2015_001,9,20260723,0.4,0.6333,0.525,0.5833,0.525,0.5667,0.5083
BNCI2014_001,1,20260724,0.4,0.4792,0.3594,0.3611,0.3438,0.4306,0.4497
BNCI2014_001,2,20260724,0.4,0.2517,0.276,0.283,0.276,0.2569,0.2691
BNCI2014_001,3,20260724,0.4,0.5573,0.4306,0.4479,0.4115,0.4358,0.3368
BNCI2014_001,4,20260724,0.4,0.3472,0.3021,0.342,0.3073,0.3108,0.2899
BNCI2014_001,5,20260724,0.4,0.2726,0.25,0.283,0.25,0.2326,0.2639
BNCI2014_001,6,20260724,0.4,0.2934,0.2587,0.2691,0.2604,0.2743,0.2465
BNCI2014_001,7,20260724,0.4,0.2795,0.2951,0.2708,0.2899,0.2865,0.2969
BNCI2014_001,8,20260724,0.4,0.5503,0.4844,0.4792,0.4688,0.4566,0.4062
BNCI2014_001,9,20260724,0.4,0.4479,0.3889,0.4375,0.3837,0.3767,0.3681
BNCI2015_001,10,20260724,0.4,0.61,0.5917,0.6017,0.5933,0.5267,0.555
BNCI2015_001,11,20260724,0.4,0.5233,0.47,0.4567,0.47,0.4883,0.4667
BNCI2015_001,12,20260724,0.4,0.525,0.51,0.4825,0.49,0.4975,0.5075
BNCI2015_001,1,20260724,0.4,0.65,0.7275,0.7275,0.725,0.675,0.6275
BNCI2015_001,2,20260724,0.4,0.785,0.62,0.84,0.595,0.485,0.7625
BNCI2015_001,3,20260724,0.4,0.515,0.5475,0.755,0.5225,0.6525,0.55
BNCI2015_001,4,20260724,0.4,0.8,0.59,0.5975,0.585,0.59,0.735
BNCI2015_001,5,20260724,0.4,0.745,0.615,0.605,0.615,0.5525,0.4525
BNCI2015_001,6,20260724,0.4,0.64,0.5625,0.58,0.565,0.5975,0.6425
BNCI2015_001,7,20260724,0.4,0.54,0.4575,0.4675,0.455,0.4275,0.415
BNCI2015_001,8,20260724,0.4,0.5383,0.4683,0.4717,0.47,0.4667,0.47
BNCI2015_001,9,20260724,0.4,0.635,0.5667,0.6233,0.5633,0.6233,0.5217
BNCI2014_001,1,20260725,0.4,0.4826,0.3455,0.3351,0.3403,0.4219,0.3646
BNCI2014_001,2,20260725,0.4,0.2517,0.2639,0.2795,0.2708,0.276,0.2795
BNCI2014_001,3,20260725,0.4,0.5642,0.4219,0.4462,0.4045,0.4618,0.375
BNCI2014_001,4,20260725,0.4,0.3472,0.2622,0.2812,0.2622,0.2865,0.2431
BNCI2014_001,5,20260725,0.4,0.276,0.2535,0.2847,0.2552,0.2483,0.2743
BNCI2014_001,6,20260725,0.4,0.3021,0.2483,0.2882,0.2552,0.2969,0.2708
BNCI2014_001,7,20260725,0.4,0.2778,0.2865,0.2865,0.2917,0.276,0.2656
BNCI2014_001,8,20260725,0.4,0.5451,0.4392,0.4583,0.4236,0.3941,0.3733
BNCI2014_001,9,20260725,0.4,0.4375,0.4323,0.4497,0.4097,0.4045,0.3819
BNCI2015_001,10,20260725,0.4,0.595,0.61,0.6,0.6133,0.5317,0.605
BNCI2015_001,11,20260725,0.4,0.525,0.49,0.455,0.4933,0.5067,0.5033
BNCI2015_001,12,20260725,0.4,0.54,0.49,0.4875,0.485,0.4975,0.4675
BNCI2015_001,1,20260725,0.4,0.64,0.725,0.7275,0.73,0.66,0.6675
BNCI2015_001,2,20260725,0.4,0.7925,0.68,0.765,0.6475,0.53,0.81
BNCI2015_001,3,20260725,0.4,0.5175,0.55,0.7775,0.52,0.6775,0.5875
BNCI2015_001,4,20260725,0.4,0.7975,0.57,0.5975,0.5675,0.58,0.745
BNCI2015_001,5,20260725,0.4,0.75,0.5675,0.5975,0.56,0.58,0.5325
BNCI2015_001,6,20260725,0.4,0.6425,0.585,0.57,0.57,0.6125,0.5825
BNCI2015_001,7,20260725,0.4,0.5425,0.4925,0.5,0.4925,0.47,0.4575
BNCI2015_001,8,20260725,0.4,0.5417,0.475,0.4683,0.48,0.4583,0.4717
BNCI2015_001,9,20260725,0.4,0.6333,0.5583,0.62,0.5617,0.565,0.54
BNCI2014_001,1,20260726,0.4,0.4809,0.3264,0.3229,0.3125,0.4306,0.3854
BNCI2014_001,2,20260726,0.4,0.2604,0.2795,0.2778,0.2847,0.2778,0.2795
BNCI2014_001,3,20260726,0.4,0.5747,0.4253,0.4688,0.4184,0.3941,0.434
BNCI2014_001,4,20260726,0.4,0.3455,0.2743,0.3003,0.2726,0.2691,0.2882
BNCI2014_001,5,20260726,0.4,0.276,0.2431,0.2639,0.2448,0.2569,0.2691
BNCI2014_001,6,20260726,0.4,0.2986,0.2934,0.2865,0.2847,0.2917,0.2639
BNCI2014_001,7,20260726,0.4,0.2726,0.3056,0.2708,0.3038,0.3021,0.2899
BNCI2014_001,8,20260726,0.4,0.5469,0.4306,0.4375,0.4149,0.3802,0.4028
BNCI2014_001,9,20260726,0.4,0.4479,0.441,0.4583,0.4097,0.3785,0.3715
BNCI2015_001,10,20260726,0.4,0.5983,0.58,0.58,0.5717,0.5383,0.5917
BNCI2015_001,11,20260726,0.4,0.52,0.4783,0.44,0.48,0.5033,0.4833
BNCI2015_001,12,20260726,0.4,0.5325,0.5275,0.4925,0.5125,0.5125,0.51
BNCI2015_001,1,20260726,0.4,0.6525,0.71,0.7275,0.7025,0.605,0.52
BNCI2015_001,2,20260726,0.4,0.79,0.595,0.795,0.56,0.43,0.745
BNCI2015_001,3,20260726,0.4,0.515,0.56,0.75,0.53,0.6625,0.57
BNCI2015_001,4,20260726,0.4,0.7925,0.5475,0.605,0.545,0.5775,0.6725
BNCI2015_001,5,20260726,0.4,0.75,0.6,0.5925,0.6025,0.5375,0.46
BNCI2015_001,6,20260726,0.4,0.64,0.58,0.57,0.5675,0.6125,0.615
BNCI2015_001,7,20260726,0.4,0.545,0.41,0.4075,0.41,0.4125,0.4125
BNCI2015_001,8,20260726,0.4,0.5467,0.475,0.4767,0.4717,0.4517,0.5017
BNCI2015_001,9,20260726,0.4,0.635,0.5683,0.5967,0.565,0.5417,0.52
BNCI2014_001,1,20260727,0.4,0.4809,0.3507,0.3351,0.3438,0.4323,0.4462
BNCI2014_001,2,20260727,0.4,0.2569,0.283,0.2795,0.2847,0.283,0.283
BNCI2014_001,3,20260727,0.4,0.5694,0.4427,0.4497,0.4375,0.4149,0.3767
BNCI2014_001,4,20260727,0.4,0.342,0.2708,0.2795,0.2795,0.2691,0.2795
BNCI2014_001,5,20260727,0.4,0.276,0.2587,0.2639,0.2604,0.2448,0.2778
BNCI2014_001,6,20260727,0.4,0.2899,0.2344,0.2882,0.2413,0.3056,0.217
BNCI2014_001,7,20260727,0.4,0.2812,0.3281,0.3403,0.3247,0.2847,0.3003
BNCI2014_001,8,20260727,0.4,0.5451,0.4427,0.4792,0.4167,0.4358,0.408
BNCI2014_001,9,20260727,0.4,0.4392,0.3802,0.3906,0.3837,0.3264,0.3247
BNCI2015_001,10,20260727,0.4,0.6,0.58,0.5817,0.58,0.5333,0.6
BNCI2015_001,11,20260727,0.4,0.5233,0.48,0.445,0.4817,0.495,0.4617
BNCI2015_001,12,20260727,0.4,0.535,0.4825,0.485,0.49,0.5025,0.475
BNCI2015_001,1,20260727,0.4,0.6325,0.685,0.7375,0.6775,0.55,0.5875
BNCI2015_001,2,20260727,0.4,0.785,0.6625,0.83,0.635,0.45,0.6875
BNCI2015_001,3,20260727,0.4,0.5175,0.5375,0.745,0.5275,0.61,0.555
BNCI2015_001,4,20260727,0.4,0.7925,0.59,0.5875,0.58,0.5975,0.7
BNCI2015_001,5,20260727,0.4,0.75,0.645,0.6525,0.6475,0.6075,0.4975
BNCI2015_001,6,20260727,0.4,0.64,0.58,0.5775,0.57,0.6075,0.5725
BNCI2015_001,7,20260727,0.4,0.5425,0.4675,0.47,0.465,0.4475,0.4575
BNCI2015_001,8,20260727,0.4,0.5617,0.465,0.475,0.4733,0.4583,0.4783
BNCI2015_001,9,20260727,0.4,0.6333,0.545,0.61,0.555,0.5683,0.5983
BNCI2014_001,1,20260728,0.4,0.4826,0.3872,0.3628,0.375,0.467,0.5104
BNCI2014_001,2,20260728,0.4,0.25,0.2604,0.2517,0.2639,0.2535,0.25
BNCI2014_001,3,20260728,0.4,0.5625,0.434,0.4774,0.4132,0.4219,0.3715
BNCI2014_001,4,20260728,0.4,0.342,0.2691,0.3316,0.2656,0.2656,0.2778
BNCI2014_001,5,20260728,0.4,0.2743,0.2622,0.2604,0.2604,0.2639,0.2587
BNCI2014_001,6,20260728,0.4,0.2917,0.2726,0.2847,0.2743,0.2778,0.2622
BNCI2014_001,7,20260728,0.4,0.2847,0.2812,0.2656,0.276,0.2535,0.2899
BNCI2014_001,8,20260728,0.4,0.5503,0.4132,0.4028,0.3802,0.3958,0.3299
BNCI2014_001,9,20260728,0.4,0.4444,0.3906,0.4132,0.3941,0.3472,0.3837
BNCI2015_001,10,20260728,0.4,0.5967,0.6067,0.5983,0.6117,0.5367,0.5933
BNCI2015_001,11,20260728,0.4,0.5233,0.485,0.4717,0.4917,0.5017,0.48
BNCI2015_001,12,20260728,0.4,0.525,0.4875,0.4975,0.4825,0.5075,0.47
BNCI2015_001,1,20260728,0.4,0.645,0.7275,0.7375,0.725,0.6425,0.5975
BNCI2015_001,2,20260728,0.4,0.7875,0.62,0.84,0.5975,0.44,0.7575
BNCI2015_001,3,20260728,0.4,0.515,0.5575,0.7525,0.53,0.63,0.5925
BNCI2015_001,4,20260728,0.4,0.7975,0.575,0.6125,0.575,0.6225,0.745
BNCI2015_001,5,20260728,0.4,0.745,0.6025,0.6225,0.6075,0.605,0.475
BNCI2015_001,6,20260728,0.4,0.64,0.59,0.59,0.585,0.605,0.5875
BNCI2015_001,7,20260728,0.4,0.5425,0.465,0.48,0.47,0.4325,0.455
BNCI2015_001,8,20260728,0.4,0.5617,0.4583,0.4717,0.4617,0.48,0.5017
BNCI2015_001,9,20260728,0.4,0.6317,0.59,0.605,0.585,0.545,0.6383
