path,level,group,rows,association
strict_source,within_target_x_level_x_regime,target-2|level-1|SRC,40,0.025641053254093715
strict_source,within_target_x_level_x_regime,target-3|level-0|OACI,40,-0.011698148753606601
strict_source,within_target_x_level_x_regime,target-3|level-0|SRC,40,-0.0031240438650262698
strict_source,within_target_x_level_x_regime,target-3|level-1|OACI,40,0.05214491231081116
strict_source,within_target_x_level_x_regime,target-3|level-1|SRC,40,0.007509553149075995
strict_source,within_target_x_level_x_regime,target-5|level-0|OACI,40,-0.014768072295018487
strict_source,within_target_x_level_x_regime,target-5|level-0|SRC,40,0.025874181443661364
strict_source,within_target_x_level_x_regime,target-5|level-1|OACI,40,0.004895066917788315
strict_source,within_target_x_level_x_regime,target-5|level-1|SRC,40,-0.007340974413856968
strict_source,within_target_x_level_x_regime,target-6|level-0|OACI,40,0.04035443618803794
strict_source,within_target_x_level_x_regime,target-6|level-0|SRC,40,0.047088229893274436
strict_source,within_target_x_level_x_regime,target-6|level-1|OACI,40,-0.008278840441483613
strict_source,within_target_x_level_x_regime,target-6|level-1|SRC,40,0.011207964472869557
strict_source,within_target_x_level_x_regime,target-7|level-0|OACI,40,-0.00529322264671268
strict_source,within_target_x_level_x_regime,target-7|level-0|SRC,40,-0.014724914292806148
strict_source,within_target_x_level_x_regime,target-7|level-1|OACI,40,0.007574210710034126
strict_source,within_target_x_level_x_regime,target-7|level-1|SRC,40,0.07480134907405273
strict_source,within_target_x_level_x_regime,target-8|level-0|OACI,40,0.04260333099772412
strict_source,within_target_x_level_x_regime,target-8|level-0|SRC,40,0.05056455625627258
strict_source,within_target_x_level_x_regime,target-8|level-1|OACI,40,-0.02077655801216753
strict_source,within_target_x_level_x_regime,target-8|level-1|SRC,40,-0.017574717816202817
strict_source,within_target_x_level_x_regime,target-9|level-0|OACI,40,0.010680609009299007
strict_source,within_target_x_level_x_regime,target-9|level-0|SRC,40,-0.007249336111493675
strict_source,within_target_x_level_x_regime,target-9|level-1|OACI,40,0.01259700877512208
strict_source,within_target_x_level_x_regime,target-9|level-1|SRC,40,0.05860411904261032
strict_source,within_regime,ERM,16,-0.0707830419356272
strict_source,within_regime,OACI,640,0.0025088211203371743
strict_source,within_regime,SRC,640,0.0024461515502246117
target_unlabeled,pooled,ALL,1296,0.03524382762197536
target_unlabeled,within_target,1,162,0.16870371613767116
target_unlabeled,within_target,2,162,0.11344958018961139
target_unlabeled,within_target,3,162,0.15953323629966917
target_unlabeled,within_target,5,162,0.10489294208375416
target_unlabeled,within_target,6,162,0.44275382033002875
target_unlabeled,within_target,7,162,0.18259382773709576
target_unlabeled,within_target,8,162,0.34570590829215747
target_unlabeled,within_target,9,162,0.18992541976325372
target_unlabeled,within_target_x_level,target-1|level-0,81,0.2156897406944111
target_unlabeled,within_target_x_level,target-1|level-1,81,0.18566230852860469
target_unlabeled,within_target_x_level,target-2|level-0,81,0.1292637651277805
target_unlabeled,within_target_x_level,target-2|level-1,81,0.15248482458636517
target_unlabeled,within_target_x_level,target-3|level-0,81,0.22648715663308863
target_unlabeled,within_target_x_level,target-3|level-1,81,0.1513065569765674
target_unlabeled,within_target_x_level,target-5|level-0,81,0.10411127358173569
target_unlabeled,within_target_x_level,target-5|level-1,81,0.1815340702143578
target_unlabeled,within_target_x_level,target-6|level-0,81,0.4395044119870747
target_unlabeled,within_target_x_level,target-6|level-1,81,0.5273748920603714
target_unlabeled,within_target_x_level,target-7|level-0,81,0.12915491572476834
target_unlabeled,within_target_x_level,target-7|level-1,81,0.2573444639172271
target_unlabeled,within_target_x_level,target-8|level-0,81,0.6149830746525222
target_unlabeled,within_target_x_level,target-8|level-1,81,0.14133139336282177
target_unlabeled,within_target_x_level,target-9|level-0,81,0.2403598700990685
target_unlabeled,within_target_x_level,target-9|level-1,81,0.28919434545220746
target_unlabeled,within_target_x_level_x_regime,target-1|level-0|OACI,40,0.16425761288071192
target_unlabeled,within_target_x_level_x_regime,target-1|level-0|SRC,40,0.38670085893884765
target_unlabeled,within_target_x_level_x_regime,target-1|level-1|OACI,40,0.09916995427820141
target_unlabeled,within_target_x_level_x_regime,target-1|level-1|SRC,40,0.46337375000236325
target_unlabeled,within_target_x_level_x_regime,target-2|level-0|OACI,40,0.12351257373335495
target_unlabeled,within_target_x_level_x_regime,target-2|level-0|SRC,40,0.29941177343253017
target_unlabeled,within_target_x_level_x_regime,target-2|level-1|OACI,40,0.07335892156243176
target_unlabeled,within_target_x_level_x_regime,target-2|level-1|SRC,40,0.36474773965424073
target_unlabeled,within_target_x_level_x_regime,target-3|level-0|OACI,40,0.26656120544694956
target_unlabeled,within_target_x_level_x_regime,target-3|level-0|SRC,40,0.15770038788348956
target_unlabeled,within_target_x_level_x_regime,target-3|level-1|OACI,40,0.3477999469770728
target_unlabeled,within_target_x_level_x_regime,target-3|level-1|SRC,40,0.17122109332984214
target_unlabeled,within_target_x_level_x_regime,target-5|level-0|OACI,40,0.14004023125925918
target_unlabeled,within_target_x_level_x_regime,target-5|level-0|SRC,40,0.2593696199326494
target_unlabeled,within_target_x_level_x_regime,target-5|level-1|OACI,40,0.17626840564372934
target_unlabeled,within_target_x_level_x_regime,target-5|level-1|SRC,40,0.2704322262142819
target_unlabeled,within_target_x_level_x_regime,target-6|level-0|OACI,40,0.32421711051132895
target_unlabeled,within_target_x_level_x_regime,target-6|level-0|SRC,40,0.12768752907237382
target_unlabeled,within_target_x_level_x_regime,target-6|level-1|OACI,40,0.07550299722585795
target_unlabeled,within_target_x_level_x_regime,target-6|level-1|SRC,40,0.39609929493884577
target_unlabeled,within_target_x_level_x_regime,target-7|level-0|OACI,40,0.14026928367936461
target_unlabeled,within_target_x_level_x_regime,target-7|level-0|SRC,40,0.1026999281764311
target_unlabeled,within_target_x_level_x_regime,target-7|level-1|OACI,40,0.24065768603065965
target_unlabeled,within_target_x_level_x_regime,target-7|level-1|SRC,40,0.3763244706628681
target_unlabeled,within_target_x_level_x_regime,target-8|level-0|OACI,40,0.3292089170862471
target_unlabeled,within_target_x_level_x_regime,target-8|level-0|SRC,40,0.22268265751999305
target_unlabeled,within_target_x_level_x_regime,target-8|level-1|OACI,40,0.15773468983583158
target_unlabeled,within_target_x_level_x_regime,target-8|level-1|SRC,40,0.13947411685438052
target_unlabeled,within_target_x_level_x_regime,target-9|level-0|OACI,40,0.22913851376400865
target_unlabeled,within_target_x_level_x_regime,target-9|level-0|SRC,40,0.34034602902380134
target_unlabeled,within_target_x_level_x_regime,target-9|level-1|OACI,40,0.25502757630730977
target_unlabeled,within_target_x_level_x_regime,target-9|level-1|SRC,40,0.544004246956258
target_unlabeled,within_regime,ERM,16,0.25740094925771223
target_unlabeled,within_regime,OACI,640,0.027588951514476833
target_unlabeled,within_regime,SRC,640,0.09199730497595587
